indicator,year,value,unit,geography_level
Rail Freight,2010,0.13,Index,National
Rail Freight,2011,11.71,%,National
Rail Freight,2012,-0.13,Index,National
Rail Freight,2013,10.36,%,National
Rail Freight,2014,10.12,INR Lakh Cr,National
Rail Freight,2015,1.42,INR Lakh Cr,National
Rail Freight,2016,7.21,INR Lakh Cr,National
Rail Freight,2017,9.7,Index,National
Rail Freight,2018,8.48,INR Lakh Cr,National
Rail Freight,2019,10.97,Index,National
Rail Freight,2020,6.7,Index,National
Rail Freight,2021,-3.85,Index,National
Rail Freight,2022,11.04,%,National
Rail Freight,2023,-3.92,Index,National
Rail Freight,2024,4.78,Index,National
Rail Freight,2025,3.17,%,National
Port Cargo,2005,-0.41,%,National
Port Cargo,2006,-3.71,Index,National
Port Cargo,2007,1.21,INR Lakh Cr,National
Port Cargo,2008,7.54,%,National
Port Cargo,2009,4.68,INR Lakh Cr,National
Port Cargo,2010,1.88,INR Lakh Cr,National
Port Cargo,2011,0.01,Index,National
Port Cargo,2012,11.57,%,National
Port Cargo,2013,3.79,INR Lakh Cr,National
Port Cargo,2014,2.95,%,National
Port Cargo,2015,4.04,INR Lakh Cr,National
Port Cargo,2016,3.88,%,National
Port Cargo,2017,-0.32,INR Lakh Cr,National
Port Cargo,2018,5.15,%,National
Port Cargo,2019,-3.3,Index,National
Port Cargo,2020,11.26,%,National
Port Cargo,2021,10.14,%,National
Port Cargo,2022,11.25,%,National
Port Cargo,2023,2.85,%,National
Port Cargo,2024,5.16,%,National
Port Cargo,2025,-2.79,%,National
