state_code,year,metric,value,unit,geography_level
AP,2019,Renewable Capacity,566.23,INR/kWh,State
AP,2019,AT&C Losses,35.75,GW,State
AP,2019,ACS-ARR Gap,723.23,GW,State
AP,2019,Daily Power Supply,493.4,INR/kWh,State
AP,2020,Installed Capacity,675.68,%,State
AP,2020,Renewable Capacity,891.46,Hours,State
AP,2020,AT&C Losses,335.13,INR/kWh,State
AP,2020,ACS-ARR Gap,215.12,INR/kWh,State
AP,2020,Daily Power Supply,666.05,%,State
AP,2021,Installed Capacity,93.26,GW,State
AP,2021,Renewable Capacity,481.13,Hours,State
AP,2021,AT&C Losses,743.9,INR/kWh,State
AP,2021,ACS-ARR Gap,806.02,GW,State
AP,2021,Daily Power Supply,48.61,INR/kWh,State
AP,2022,Installed Capacity,814.89,Hours,State
AP,2022,Renewable Capacity,319.74,Hours,State
AP,2022,AT&C Losses,855.08,Hours,State
AP,2022,ACS-ARR Gap,516.31,INR/kWh,State
AP,2022,Daily Power Supply,82.99,Hours,State
AP,2023,Installed Capacity,296.13,%,State
AP,2023,Renewable Capacity,191.85,INR/kWh,State
AP,2023,AT&C Losses,712.53,GW,State
AP,2023,ACS-ARR Gap,102.56,INR/kWh,State
AP,2023,Daily Power Supply,445.23,MW,State
AP,2024,Installed Capacity,397.66,INR/kWh,State
AP,2024,Renewable Capacity,316.15,MW,State
AP,2024,AT&C Losses,871.8,GW,State
AP,2024,ACS-ARR Gap,685.48,Hours,State
AP,2024,Daily Power Supply,780.25,INR/kWh,State
AP,2025,Installed Capacity,200.71,GW,State
AP,2025,Renewable Capacity,739.76,MW,State
AP,2025,AT&C Losses,132.37,INR/kWh,State
AP,2025,ACS-ARR Gap,76.81,%,State
AP,2025,Daily Power Supply,523.38,INR/kWh,State
TG,2005,Installed Capacity,333.89,Hours,State
TG,2005,Renewable Capacity,213.4,GW,State
TG,2005,AT&C Losses,532.9,Hours,State
TG,2005,ACS-ARR Gap,338.95,%,State
TG,2005,Daily Power Supply,699.54,%,State
TG,2006,Installed Capacity,224.23,%,State
TG,2006,Renewable Capacity,100.52,%,State
TG,2006,AT&C Losses,228.69,MW,State
TG,2006,ACS-ARR Gap,422.06,MW,State
TG,2006,Daily Power Supply,667.01,INR/kWh,State
TG,2007,Installed Capacity,740.6,GW,State
TG,2007,Renewable Capacity,613.09,Hours,State
TG,2007,AT&C Losses,865.97,Hours,State
TG,2007,ACS-ARR Gap,257.5,GW,State
TG,2007,Daily Power Supply,201.62,MW,State
TG,2008,Installed Capacity,11.43,INR/kWh,State
TG,2008,Renewable Capacity,39.32,INR/kWh,State
TG,2008,AT&C Losses,39.54,INR/kWh,State
TG,2008,ACS-ARR Gap,893.67,INR/kWh,State
TG,2008,Daily Power Supply,228.06,%,State
TG,2009,Installed Capacity,872.39,MW,State
TG,2009,Renewable Capacity,150.01,GW,State
TG,2009,AT&C Losses,626.33,GW,State
TG,2009,ACS-ARR Gap,564.99,%,State
TG,2009,Daily Power Supply,811.09,GW,State
TG,2010,Installed Capacity,823.77,MW,State
TG,2010,Renewable Capacity,855.4,Hours,State
TG,2010,AT&C Losses,96.53,INR/kWh,State
TG,2010,ACS-ARR Gap,250.0,Hours,State
TG,2010,Daily Power Supply,582.34,MW,State
TG,2011,Installed Capacity,206.84,Hours,State
TG,2011,Renewable Capacity,70.42,GW,State
TG,2011,AT&C Losses,234.32,%,State
TG,2011,ACS-ARR Gap,628.5,GW,State
TG,2011,Daily Power Supply,252.15,INR/kWh,State
TG,2012,Installed Capacity,732.51,Hours,State
TG,2012,Renewable Capacity,244.23,INR/kWh,State
TG,2012,AT&C Losses,819.88,INR/kWh,State
TG,2012,ACS-ARR Gap,846.51,%,State
TG,2012,Daily Power Supply,653.28,GW,State
TG,2013,Installed Capacity,376.71,MW,State
TG,2013,Renewable Capacity,496.65,INR/kWh,State
TG,2013,AT&C Losses,24.22,GW,State
TG,2013,ACS-ARR Gap,699.95,MW,State
TG,2013,Daily Power Supply,888.55,GW,State
TG,2014,Installed Capacity,339.38,MW,State
TG,2014,Renewable Capacity,343.11,%,State
TG,2014,AT&C Losses,757.99,INR/kWh,State
TG,2014,ACS-ARR Gap,57.63,GW,State
TG,2014,Daily Power Supply,373.63,GW,State
TG,2015,Installed Capacity,12.8,Hours,State
TG,2015,Renewable Capacity,731.7,INR/kWh,State
TG,2015,AT&C Losses,896.97,INR/kWh,State
TG,2015,ACS-ARR Gap,526.84,INR/kWh,State
TG,2015,Daily Power Supply,850.32,MW,State
TG,2016,Installed Capacity,340.38,INR/kWh,State
TG,2016,Renewable Capacity,405.76,GW,State
TG,2016,AT&C Losses,858.67,INR/kWh,State
TG,2016,ACS-ARR Gap,186.9,GW,State
TG,2016,Daily Power Supply,604.69,MW,State
TG,2017,Installed Capacity,322.67,MW,State
TG,2017,Renewable Capacity,448.6,%,State
TG,2017,AT&C Losses,468.39,Hours,State
TG,2017,ACS-ARR Gap,734.84,Hours,State
TG,2017,Daily Power Supply,505.06,%,State
TG,2018,Installed Capacity,363.43,INR/kWh,State
TG,2018,Renewable Capacity,558.47,MW,State
TG,2018,AT&C Losses,724.64,Hours,State
TG,2018,ACS-ARR Gap,882.43,MW,State
TG,2018,Daily Power Supply,531.13,%,State
TG,2019,Installed Capacity,82.36,MW,State
TG,2019,Renewable Capacity,313.76,GW,State
TG,2019,AT&C Losses,705.4,Hours,State
TG,2019,ACS-ARR Gap,268.51,MW,State
TG,2019,Daily Power Supply,776.2,INR/kWh,State
TG,2020,Installed Capacity,716.93,MW,State
TG,2020,Renewable Capacity,833.97,MW,State
TG,2020,AT&C Losses,692.14,Hours,State
TG,2020,ACS-ARR Gap,413.49,MW,State
TG,2020,Daily Power Supply,558.91,MW,State
TG,2021,Installed Capacity,296.21,%,State
TG,2021,Renewable Capacity,521.9,%,State
TG,2021,AT&C Losses,68.74,GW,State
TG,2021,ACS-ARR Gap,414.38,%,State
TG,2021,Daily Power Supply,125.38,Hours,State
TG,2022,Installed Capacity,164.1,GW,State
TG,2022,Renewable Capacity,807.16,%,State
TG,2022,AT&C Losses,463.95,MW,State
TG,2022,ACS-ARR Gap,541.94,%,State
TG,2022,Daily Power Supply,37.26,INR/kWh,State
TG,2023,Installed Capacity,310.9,MW,State
TG,2023,Renewable Capacity,159.72,INR/kWh,State
TG,2023,AT&C Losses,494.07,INR/kWh,State
TG,2023,ACS-ARR Gap,414.97,MW,State
TG,2023,Daily Power Supply,804.85,GW,State
TG,2024,Installed Capacity,453.32,INR/kWh,State
TG,2024,Renewable Capacity,289.76,MW,State
TG,2024,AT&C Losses,719.57,GW,State
TG,2024,ACS-ARR Gap,619.16,%,State
TG,2024,Daily Power Supply,828.82,INR/kWh,State
TG,2025,Installed Capacity,2.83,Hours,State
TG,2025,Renewable Capacity,725.68,GW,State
TG,2025,AT&C Losses,537.75,Hours,State
TG,2025,ACS-ARR Gap,188.81,MW,State
TG,2025,Daily Power Supply,684.08,MW,State
TN,2005,Installed Capacity,672.85,%,State
TN,2005,Renewable Capacity,227.57,%,State
TN,2005,AT&C Losses,805.74,%,State
TN,2005,ACS-ARR Gap,479.14,INR/kWh,State
TN,2005,Daily Power Supply,780.56,%,State
TN,2006,Installed Capacity,357.75,GW,State
TN,2006,Renewable Capacity,663.8,Hours,State
TN,2006,AT&C Losses,18.55,GW,State
TN,2006,ACS-ARR Gap,756.72,MW,State
TN,2006,Daily Power Supply,482.03,GW,State
TN,2007,Installed Capacity,801.53,Hours,State
TN,2007,Renewable Capacity,426.84,MW,State
TN,2007,AT&C Losses,710.36,INR/kWh,State
TN,2007,ACS-ARR Gap,431.88,Hours,State
TN,2007,Daily Power Supply,483.63,MW,State
TN,2008,Installed Capacity,502.19,GW,State
TN,2008,Renewable Capacity,508.23,MW,State
TN,2008,AT&C Losses,255.76,Hours,State
TN,2008,ACS-ARR Gap,581.5,MW,State
TN,2008,Daily Power Supply,220.3,%,State
TN,2009,Installed Capacity,887.87,INR/kWh,State
TN,2009,Renewable Capacity,840.36,INR/kWh,State
TN,2009,AT&C Losses,92.05,Hours,State
TN,2009,ACS-ARR Gap,765.81,GW,State
TN,2009,Daily Power Supply,72.67,%,State
TN,2010,Installed Capacity,16.91,INR/kWh,State
TN,2010,Renewable Capacity,884.15,MW,State
TN,2010,AT&C Losses,518.61,%,State
TN,2010,ACS-ARR Gap,779.02,GW,State
TN,2010,Daily Power Supply,441.93,%,State
TN,2011,Installed Capacity,738.86,MW,State
TN,2011,Renewable Capacity,501.31,MW,State
TN,2011,AT&C Losses,252.34,Hours,State
TN,2011,ACS-ARR Gap,184.97,MW,State
TN,2011,Daily Power Supply,291.65,%,State
TN,2012,Installed Capacity,179.96,Hours,State
TN,2012,Renewable Capacity,218.55,GW,State
TN,2012,AT&C Losses,549.75,INR/kWh,State
TN,2012,ACS-ARR Gap,455.74,Hours,State
TN,2012,Daily Power Supply,288.92,%,State
TN,2013,Installed Capacity,47.12,MW,State
TN,2013,Renewable Capacity,409.11,INR/kWh,State
TN,2013,AT&C Losses,57.51,Hours,State
TN,2013,ACS-ARR Gap,181.96,MW,State
TN,2013,Daily Power Supply,79.54,INR/kWh,State
TN,2014,Installed Capacity,2.94,GW,State
TN,2014,Renewable Capacity,536.28,%,State
TN,2014,AT&C Losses,314.31,GW,State
TN,2014,ACS-ARR Gap,765.73,Hours,State
TN,2014,Daily Power Supply,868.54,INR/kWh,State
TN,2015,Installed Capacity,657.92,GW,State
TN,2015,Renewable Capacity,184.9,%,State
TN,2015,AT&C Losses,60.31,Hours,State
TN,2015,ACS-ARR Gap,757.72,%,State
TN,2015,Daily Power Supply,715.84,Hours,State
TN,2016,Installed Capacity,147.71,INR/kWh,State
TN,2016,Renewable Capacity,168.17,%,State
TN,2016,AT&C Losses,598.84,MW,State
TN,2016,ACS-ARR Gap,817.13,GW,State
TN,2016,Daily Power Supply,789.54,GW,State
TN,2017,Installed Capacity,614.84,%,State
TN,2017,Renewable Capacity,561.88,GW,State
TN,2017,AT&C Losses,672.97,GW,State
TN,2017,ACS-ARR Gap,209.38,GW,State
TN,2017,Daily Power Supply,352.64,MW,State
TN,2018,Installed Capacity,489.43,%,State
TN,2018,Renewable Capacity,488.79,%,State
TN,2018,AT&C Losses,565.12,MW,State
TN,2018,ACS-ARR Gap,125.78,INR/kWh,State
TN,2018,Daily Power Supply,446.13,%,State
TN,2019,Installed Capacity,709.84,GW,State
TN,2019,Renewable Capacity,280.89,INR/kWh,State
TN,2019,AT&C Losses,700.83,GW,State
TN,2019,ACS-ARR Gap,30.66,MW,State
TN,2019,Daily Power Supply,686.33,%,State
TN,2020,Installed Capacity,679.29,INR/kWh,State
TN,2020,Renewable Capacity,100.01,Hours,State
TN,2020,AT&C Losses,411.57,Hours,State
TN,2020,ACS-ARR Gap,357.86,INR/kWh,State
TN,2020,Daily Power Supply,486.1,INR/kWh,State
TN,2021,Installed Capacity,206.71,Hours,State
TN,2021,Renewable Capacity,694.81,%,State
TN,2021,AT&C Losses,577.21,%,State
TN,2021,ACS-ARR Gap,509.17,MW,State
TN,2021,Daily Power Supply,226.99,INR/kWh,State
TN,2022,Installed Capacity,744.21,MW,State
TN,2022,Renewable Capacity,308.6,MW,State
TN,2022,AT&C Losses,852.58,Hours,State
TN,2022,ACS-ARR Gap,820.71,MW,State
TN,2022,Daily Power Supply,550.5,Hours,State
TN,2023,Installed Capacity,533.87,Hours,State
TN,2023,Renewable Capacity,508.84,Hours,State
TN,2023,AT&C Losses,711.18,INR/kWh,State
TN,2023,ACS-ARR Gap,636.66,MW,State
TN,2023,Daily Power Supply,694.24,MW,State
TN,2024,Installed Capacity,62.49,%,State
TN,2024,Renewable Capacity,662.93,GW,State
TN,2024,AT&C Losses,833.05,GW,State
TN,2024,ACS-ARR Gap,102.36,INR/kWh,State
TN,2024,Daily Power Supply,149.39,Hours,State
TN,2025,Installed Capacity,112.63,GW,State
TN,2025,Renewable Capacity,299.27,%,State
TN,2025,AT&C Losses,532.35,INR/kWh,State
TN,2025,ACS-ARR Gap,341.69,INR/kWh,State
TN,2025,Daily Power Supply,302.01,Hours,State
KL,2005,Installed Capacity,709.12,MW,State
KL,2005,Renewable Capacity,300.48,Hours,State
KL,2005,AT&C Losses,483.89,%,State
KL,2005,ACS-ARR Gap,830.7,MW,State
KL,2005,Daily Power Supply,433.01,%,State
KL,2006,Installed Capacity,407.27,%,State
KL,2006,Renewable Capacity,30.05,%,State
KL,2006,AT&C Losses,127.2,GW,State
KL,2006,ACS-ARR Gap,448.78,INR/kWh,State
KL,2006,Daily Power Supply,823.4,GW,State
KL,2007,Installed Capacity,702.56,%,State
KL,2007,Renewable Capacity,569.22,Hours,State
KL,2007,AT&C Losses,191.81,GW,State
KL,2007,ACS-ARR Gap,160.64,Hours,State
KL,2007,Daily Power Supply,413.36,Hours,State
KL,2008,Installed Capacity,373.45,Hours,State
KL,2008,Renewable Capacity,481.8,GW,State
KL,2008,AT&C Losses,269.99,INR/kWh,State
KL,2008,ACS-ARR Gap,357.89,%,State
KL,2008,Daily Power Supply,189.31,%,State
KL,2009,Installed Capacity,314.77,INR/kWh,State
KL,2009,Renewable Capacity,562.67,INR/kWh,State
KL,2009,AT&C Losses,425.12,%,State
KL,2009,ACS-ARR Gap,59.6,%,State
KL,2009,Daily Power Supply,408.23,MW,State
KL,2010,Installed Capacity,481.24,GW,State
KL,2010,Renewable Capacity,360.99,%,State
KL,2010,AT&C Losses,140.14,GW,State
KL,2010,ACS-ARR Gap,301.26,%,State
KL,2010,Daily Power Supply,336.29,MW,State
KL,2011,Installed Capacity,807.74,MW,State
KL,2011,Renewable Capacity,368.16,Hours,State
KL,2011,AT&C Losses,755.89,INR/kWh,State
KL,2011,ACS-ARR Gap,367.48,GW,State
KL,2011,Daily Power Supply,200.16,%,State
KL,2012,Installed Capacity,455.2,GW,State
KL,2012,Renewable Capacity,720.02,%,State
KL,2012,AT&C Losses,798.77,Hours,State
KL,2012,ACS-ARR Gap,214.75,MW,State
KL,2012,Daily Power Supply,724.88,%,State
KL,2013,Installed Capacity,866.4,Hours,State
KL,2013,Renewable Capacity,601.44,INR/kWh,State
KL,2013,AT&C Losses,366.05,MW,State
KL,2013,ACS-ARR Gap,12.2,GW,State
KL,2013,Daily Power Supply,187.49,%,State
KL,2014,Installed Capacity,110.94,%,State
KL,2014,Renewable Capacity,524.95,Hours,State
KL,2014,AT&C Losses,633.7,GW,State
KL,2014,ACS-ARR Gap,735.79,Hours,State
KL,2014,Daily Power Supply,302.61,MW,State
KL,2015,Installed Capacity,327.07,Hours,State
KL,2015,Renewable Capacity,747.67,INR/kWh,State
KL,2015,AT&C Losses,368.77,GW,State
KL,2015,ACS-ARR Gap,392.8,Hours,State
KL,2015,Daily Power Supply,197.95,MW,State
KL,2016,Installed Capacity,687.36,GW,State
KL,2016,Renewable Capacity,781.69,%,State
KL,2016,AT&C Losses,805.15,GW,State
KL,2016,ACS-ARR Gap,436.56,GW,State
KL,2016,Daily Power Supply,242.18,MW,State
KL,2017,Installed Capacity,570.31,GW,State
KL,2017,Renewable Capacity,125.85,%,State
KL,2017,AT&C Losses,379.82,MW,State
KL,2017,ACS-ARR Gap,473.36,INR/kWh,State
KL,2017,Daily Power Supply,622.25,INR/kWh,State
KL,2018,Installed Capacity,17.04,MW,State
KL,2018,Renewable Capacity,476.93,MW,State
KL,2018,AT&C Losses,519.08,MW,State
KL,2018,ACS-ARR Gap,498.98,GW,State
KL,2018,Daily Power Supply,447.97,Hours,State
KL,2019,Installed Capacity,186.18,MW,State
KL,2019,Renewable Capacity,126.45,%,State
KL,2019,AT&C Losses,810.07,%,State
KL,2019,ACS-ARR Gap,537.87,Hours,State
KL,2019,Daily Power Supply,569.97,INR/kWh,State
KL,2020,Installed Capacity,158.25,INR/kWh,State
KL,2020,Renewable Capacity,754.38,INR/kWh,State
KL,2020,AT&C Losses,345.13,MW,State
KL,2020,ACS-ARR Gap,380.12,MW,State
KL,2020,Daily Power Supply,150.07,%,State
KL,2021,Installed Capacity,166.34,INR/kWh,State
KL,2021,Renewable Capacity,543.04,MW,State
KL,2021,AT&C Losses,61.89,%,State
KL,2021,ACS-ARR Gap,260.18,Hours,State
KL,2021,Daily Power Supply,647.28,%,State
KL,2022,Installed Capacity,854.4,INR/kWh,State
KL,2022,Renewable Capacity,435.64,MW,State
KL,2022,AT&C Losses,28.55,Hours,State
KL,2022,ACS-ARR Gap,146.23,Hours,State
KL,2022,Daily Power Supply,46.76,%,State
KL,2023,Installed Capacity,537.36,MW,State
KL,2023,Renewable Capacity,561.19,MW,State
KL,2023,AT&C Losses,96.39,GW,State
KL,2023,ACS-ARR Gap,316.71,GW,State
KL,2023,Daily Power Supply,446.19,%,State
KL,2024,Installed Capacity,538.66,GW,State
KL,2024,Renewable Capacity,222.14,%,State
KL,2024,AT&C Losses,70.45,Hours,State
KL,2024,ACS-ARR Gap,625.38,MW,State
KL,2024,Daily Power Supply,93.23,INR/kWh,State
KL,2025,Installed Capacity,82.88,%,State
KL,2025,Renewable Capacity,865.91,GW,State
KL,2025,AT&C Losses,855.24,GW,State
KL,2025,ACS-ARR Gap,167.03,%,State
KL,2025,Daily Power Supply,659.14,INR/kWh,State
KA,2005,Installed Capacity,683.25,INR/kWh,State
KA,2005,Renewable Capacity,623.2,GW,State
KA,2005,AT&C Losses,813.08,Hours,State
KA,2005,ACS-ARR Gap,199.48,MW,State
KA,2005,Daily Power Supply,46.91,MW,State
KA,2006,Installed Capacity,35.96,MW,State
KA,2006,Renewable Capacity,529.64,GW,State
KA,2006,AT&C Losses,162.93,INR/kWh,State
KA,2006,ACS-ARR Gap,426.15,INR/kWh,State
KA,2006,Daily Power Supply,658.06,%,State
KA,2007,Installed Capacity,831.99,MW,State
KA,2007,Renewable Capacity,379.88,INR/kWh,State
KA,2007,AT&C Losses,427.06,Hours,State
KA,2007,ACS-ARR Gap,760.17,MW,State
KA,2007,Daily Power Supply,470.43,GW,State
KA,2008,Installed Capacity,585.33,%,State
KA,2008,Renewable Capacity,504.83,INR/kWh,State
KA,2008,AT&C Losses,69.72,INR/kWh,State
KA,2008,ACS-ARR Gap,477.47,MW,State
KA,2008,Daily Power Supply,652.43,Hours,State
KA,2009,Installed Capacity,515.4,GW,State
KA,2009,Renewable Capacity,484.79,GW,State
KA,2009,AT&C Losses,664.2,GW,State
KA,2009,ACS-ARR Gap,797.44,MW,State
KA,2009,Daily Power Supply,789.06,MW,State
KA,2010,Installed Capacity,22.45,MW,State
KA,2010,Renewable Capacity,891.31,%,State
KA,2010,AT&C Losses,787.29,INR/kWh,State
KA,2010,ACS-ARR Gap,345.88,%,State
KA,2010,Daily Power Supply,63.49,Hours,State
KA,2011,Installed Capacity,47.89,GW,State
KA,2011,Renewable Capacity,362.04,INR/kWh,State
KA,2011,AT&C Losses,432.06,Hours,State
KA,2011,ACS-ARR Gap,885.68,MW,State
KA,2011,Daily Power Supply,82.98,Hours,State
KA,2012,Installed Capacity,663.96,GW,State
KA,2012,Renewable Capacity,99.87,MW,State
KA,2012,AT&C Losses,267.03,INR/kWh,State
KA,2012,ACS-ARR Gap,38.36,GW,State
KA,2012,Daily Power Supply,819.35,GW,State
KA,2013,Installed Capacity,98.97,GW,State
KA,2013,Renewable Capacity,611.84,Hours,State
KA,2013,AT&C Losses,860.8,INR/kWh,State
KA,2013,ACS-ARR Gap,707.82,%,State
KA,2013,Daily Power Supply,529.9,%,State
KA,2014,Installed Capacity,813.4,MW,State
KA,2014,Renewable Capacity,150.75,Hours,State
KA,2014,AT&C Losses,58.96,Hours,State
KA,2014,ACS-ARR Gap,754.12,INR/kWh,State
KA,2014,Daily Power Supply,747.66,MW,State
KA,2015,Installed Capacity,42.73,GW,State
KA,2015,Renewable Capacity,198.83,GW,State
KA,2015,AT&C Losses,861.56,INR/kWh,State
KA,2015,ACS-ARR Gap,52.53,GW,State
KA,2015,Daily Power Supply,466.68,Hours,State
KA,2016,Installed Capacity,895.42,INR/kWh,State
KA,2016,Renewable Capacity,234.58,%,State
KA,2016,AT&C Losses,682.54,GW,State
KA,2016,ACS-ARR Gap,138.93,%,State
KA,2016,Daily Power Supply,202.38,INR/kWh,State
KA,2017,Installed Capacity,483.51,GW,State
KA,2017,Renewable Capacity,805.48,INR/kWh,State
KA,2017,AT&C Losses,82.79,GW,State
KA,2017,ACS-ARR Gap,352.36,%,State
KA,2017,Daily Power Supply,117.0,GW,State
KA,2018,Installed Capacity,40.42,MW,State
KA,2018,Renewable Capacity,775.98,GW,State
KA,2018,AT&C Losses,296.48,GW,State
KA,2018,ACS-ARR Gap,496.0,%,State
KA,2018,Daily Power Supply,253.61,Hours,State
KA,2019,Installed Capacity,335.73,%,State
KA,2019,Renewable Capacity,651.22,MW,State
KA,2019,AT&C Losses,479.58,INR/kWh,State
KA,2019,ACS-ARR Gap,198.55,INR/kWh,State
KA,2019,Daily Power Supply,805.08,INR/kWh,State
KA,2020,Installed Capacity,766.16,INR/kWh,State
KA,2020,Renewable Capacity,432.79,INR/kWh,State
KA,2020,AT&C Losses,815.91,%,State
KA,2020,ACS-ARR Gap,313.35,MW,State
KA,2020,Daily Power Supply,489.63,INR/kWh,State
KA,2021,Installed Capacity,240.69,%,State
KA,2021,Renewable Capacity,781.41,Hours,State
KA,2021,AT&C Losses,765.6,%,State
KA,2021,ACS-ARR Gap,144.78,INR/kWh,State
KA,2021,Daily Power Supply,753.39,GW,State
KA,2022,Installed Capacity,837.12,Hours,State
KA,2022,Renewable Capacity,556.94,Hours,State
KA,2022,AT&C Losses,143.17,%,State
KA,2022,ACS-ARR Gap,865.2,GW,State
KA,2022,Daily Power Supply,26.81,MW,State
KA,2023,Installed Capacity,116.42,%,State
KA,2023,Renewable Capacity,206.15,MW,State
KA,2023,AT&C Losses,736.26,INR/kWh,State
KA,2023,ACS-ARR Gap,456.97,MW,State
KA,2023,Daily Power Supply,258.69,%,State
KA,2024,Installed Capacity,883.08,GW,State
KA,2024,Renewable Capacity,104.7,MW,State
KA,2024,AT&C Losses,570.79,INR/kWh,State
KA,2024,ACS-ARR Gap,701.97,%,State
KA,2024,Daily Power Supply,685.04,MW,State
KA,2025,Installed Capacity,389.3,MW,State
KA,2025,Renewable Capacity,308.01,Hours,State
KA,2025,AT&C Losses,161.96,INR/kWh,State
KA,2025,ACS-ARR Gap,92.71,Hours,State
KA,2025,Daily Power Supply,156.79,Hours,State
MH,2005,Installed Capacity,61.52,%,State
MH,2005,Renewable Capacity,150.16,Hours,State
MH,2005,AT&C Losses,61.08,MW,State
MH,2005,ACS-ARR Gap,426.48,MW,State
MH,2005,Daily Power Supply,67.69,MW,State
MH,2006,Installed Capacity,784.45,INR/kWh,State
MH,2006,Renewable Capacity,401.64,%,State
MH,2006,AT&C Losses,117.51,INR/kWh,State
MH,2006,ACS-ARR Gap,345.56,INR/kWh,State
MH,2006,Daily Power Supply,20.4,%,State
MH,2007,Installed Capacity,227.63,MW,State
MH,2007,Renewable Capacity,143.46,MW,State
MH,2007,AT&C Losses,897.41,GW,State
MH,2007,ACS-ARR Gap,92.42,GW,State
MH,2007,Daily Power Supply,147.68,INR/kWh,State
MH,2008,Installed Capacity,624.47,Hours,State
MH,2008,Renewable Capacity,756.03,Hours,State
MH,2008,AT&C Losses,589.23,%,State
MH,2008,ACS-ARR Gap,781.31,Hours,State
MH,2008,Daily Power Supply,28.66,INR/kWh,State
MH,2009,Installed Capacity,849.28,INR/kWh,State
MH,2009,Renewable Capacity,574.85,%,State
MH,2009,AT&C Losses,247.16,%,State
MH,2009,ACS-ARR Gap,281.1,MW,State
MH,2009,Daily Power Supply,804.74,MW,State
MH,2010,Installed Capacity,192.19,GW,State
MH,2010,Renewable Capacity,586.67,Hours,State
MH,2010,AT&C Losses,506.69,Hours,State
MH,2010,ACS-ARR Gap,426.15,Hours,State
MH,2010,Daily Power Supply,167.38,GW,State
MH,2011,Installed Capacity,82.5,%,State
MH,2011,Renewable Capacity,760.38,Hours,State
MH,2011,AT&C Losses,16.57,INR/kWh,State
MH,2011,ACS-ARR Gap,118.55,INR/kWh,State
MH,2011,Daily Power Supply,820.7,MW,State
MH,2012,Installed Capacity,555.18,GW,State
MH,2012,Renewable Capacity,1.61,GW,State
