entity,entity_type,state_code,year,metric,value,unit
NTPC,Bank,PB,2018,Credit Deployed,373741.14,INR Lakh Cr
NTPC,Bank,BR,2018,GNPA Ratio,666797.48,%
NTPC,CPSE,RJ,2018,Recovery Rate,549042.91,INR Lakh Cr
NTPC,Bank,AP,2019,Gross Turnover,514095.91,%
NTPC,Institution,KL,2019,Net Profit,204494.64,INR Lakh Cr
NTPC,Bank,PB,2019,Dividend,736168.97,INR Cr
NTPC,CPSE,TN,2019,Credit Deployed,595322.97,INR Cr
NTPC,CPSE,UP,2019,GNPA Ratio,394806.61,INR Lakh Cr
NTPC,Bank,MP,2019,Recovery Rate,11329.91,INR Lakh Cr
NTPC,Institution,PB,2020,Gross Turnover,219282.28,INR Cr
NTPC,CPSE,TN,2020,Net Profit,67983.62,%
NTPC,Bank,KA,2020,Dividend,31650.94,INR Lakh Cr
NTPC,Bank,PB,2020,Credit Deployed,15569.07,INR Cr
NTPC,CPSE,TG,2020,GNPA Ratio,726537.41,INR Lakh Cr
NTPC,Institution,UP,2020,Recovery Rate,374978.27,INR Cr
NTPC,CPSE,UP,2021,Gross Turnover,160100.04,INR Cr
NTPC,Institution,RJ,2021,Net Profit,844603.49,INR Cr
NTPC,Bank,TN,2021,Dividend,710979.15,%
NTPC,CPSE,GJ,2021,Credit Deployed,429404.06,INR Cr
NTPC,Bank,KA,2021,GNPA Ratio,390504.9,%
NTPC,Institution,TN,2021,Recovery Rate,367110.73,INR Cr
NTPC,Bank,MH,2022,Gross Turnover,466491.67,%
NTPC,Institution,RJ,2022,Net Profit,1295.49,INR Cr
NTPC,Institution,UP,2022,Dividend,159810.35,INR Lakh Cr
NTPC,Institution,UP,2022,Credit Deployed,258169.11,INR Cr
NTPC,CPSE,TN,2022,GNPA Ratio,541647.7,INR Cr
NTPC,Institution,TG,2022,Recovery Rate,713558.11,INR Cr
NTPC,Bank,PB,2023,Gross Turnover,468108.67,INR Cr
NTPC,Institution,RJ,2023,Net Profit,295436.3,INR Cr
NTPC,Bank,MH,2023,Dividend,543067.76,%
NTPC,Bank,BR,2023,Credit Deployed,13530.14,%
NTPC,Bank,BR,2023,GNPA Ratio,49279.94,INR Lakh Cr
NTPC,CPSE,GJ,2023,Recovery Rate,497093.82,%
NTPC,CPSE,KL,2024,Gross Turnover,787273.62,INR Cr
NTPC,Bank,WB,2024,Net Profit,775693.68,INR Cr
NTPC,Bank,GJ,2024,Dividend,743301.14,INR Lakh Cr
NTPC,CPSE,OD,2024,Credit Deployed,285228.54,%
NTPC,CPSE,WB,2024,GNPA Ratio,865450.68,INR Cr
NTPC,Institution,AP,2024,Recovery Rate,474140.18,INR Cr
NTPC,Bank,MP,2025,Gross Turnover,565081.16,%
NTPC,CPSE,MP,2025,Net Profit,709561.69,INR Cr
NTPC,Institution,UP,2025,Dividend,383692.2,INR Cr
NTPC,CPSE,MP,2025,Credit Deployed,161699.47,INR Lakh Cr
NTPC,Bank,HR,2025,GNPA Ratio,11549.36,INR Cr
NTPC,Bank,KA,2025,Recovery Rate,49252.21,INR Lakh Cr
ONGC,Bank,UP,2005,Gross Turnover,537855.9,INR Lakh Cr
ONGC,Institution,WB,2005,Net Profit,468296.06,%
ONGC,Bank,PB,2005,Dividend,672932.99,INR Lakh Cr
ONGC,Bank,PB,2005,Credit Deployed,177526.43,INR Lakh Cr
ONGC,CPSE,KA,2005,GNPA Ratio,260939.39,INR Lakh Cr
ONGC,CPSE,HR,2005,Recovery Rate,460377.96,INR Lakh Cr
ONGC,Bank,KA,2006,Gross Turnover,140884.73,%
ONGC,Bank,MP,2006,Net Profit,603405.29,%
ONGC,CPSE,TG,2006,Dividend,150263.49,INR Lakh Cr
ONGC,Bank,BR,2006,Credit Deployed,463012.05,INR Lakh Cr
ONGC,Institution,HR,2006,GNPA Ratio,374662.27,INR Cr
ONGC,CPSE,MH,2006,Recovery Rate,64571.09,INR Lakh Cr
ONGC,Institution,GJ,2007,Gross Turnover,817570.01,INR Cr
ONGC,Institution,AP,2007,Net Profit,96531.08,INR Cr
ONGC,Institution,PB,2007,Dividend,892867.37,%
ONGC,Institution,BR,2007,Credit Deployed,203544.18,INR Cr
ONGC,Institution,HR,2007,GNPA Ratio,69950.4,INR Cr
ONGC,Institution,HR,2007,Recovery Rate,353561.24,INR Lakh Cr
ONGC,Bank,UP,2008,Gross Turnover,862181.84,%
ONGC,CPSE,OD,2008,Net Profit,659557.18,INR Lakh Cr
ONGC,Bank,RJ,2008,Dividend,256429.08,INR Lakh Cr
ONGC,Bank,MH,2008,Credit Deployed,691890.08,INR Cr
ONGC,CPSE,AP,2008,GNPA Ratio,185306.52,%
ONGC,Institution,PB,2008,Recovery Rate,848876.83,%
ONGC,Bank,MH,2009,Gross Turnover,95659.6,INR Cr
ONGC,Institution,TG,2009,Net Profit,593425.05,INR Cr
ONGC,Institution,OD,2009,Dividend,837005.54,%
ONGC,Bank,TG,2009,Credit Deployed,435067.18,%
ONGC,Bank,RJ,2009,GNPA Ratio,3300.64,INR Lakh Cr
ONGC,Bank,UP,2009,Recovery Rate,206752.36,%
ONGC,Institution,TN,2010,Gross Turnover,236266.64,%
ONGC,Bank,AP,2010,Net Profit,246682.14,INR Lakh Cr
ONGC,Institution,UP,2010,Dividend,434764.79,INR Cr
ONGC,CPSE,MP,2010,Credit Deployed,834304.47,INR Cr
ONGC,Institution,PB,2010,GNPA Ratio,155489.86,%
ONGC,Bank,HR,2010,Recovery Rate,730963.51,%
ONGC,CPSE,KL,2011,Gross Turnover,509304.09,%
ONGC,CPSE,OD,2011,Net Profit,362740.85,INR Cr
ONGC,CPSE,BR,2011,Dividend,288513.7,INR Cr
ONGC,Institution,WB,2011,Credit Deployed,143040.7,%
ONGC,CPSE,OD,2011,GNPA Ratio,44424.11,INR Cr
ONGC,Bank,BR,2011,Recovery Rate,681472.64,INR Cr
ONGC,Bank,UP,2012,Gross Turnover,780438.26,INR Cr
ONGC,Institution,AP,2012,Net Profit,686967.79,INR Lakh Cr
ONGC,Bank,OD,2012,Dividend,639807.79,%
ONGC,Bank,AP,2012,Credit Deployed,426401.23,%
ONGC,CPSE,WB,2012,GNPA Ratio,798788.84,INR Lakh Cr
ONGC,Institution,KA,2012,Recovery Rate,263538.65,INR Lakh Cr
ONGC,Institution,AP,2013,Gross Turnover,478210.64,INR Cr
ONGC,Bank,MP,2013,Net Profit,839770.56,INR Lakh Cr
ONGC,Institution,WB,2013,Dividend,113826.56,INR Lakh Cr
ONGC,Bank,AP,2013,Credit Deployed,765388.03,%
ONGC,Institution,HR,2013,GNPA Ratio,179044.81,INR Lakh Cr
ONGC,Bank,PB,2013,Recovery Rate,372014.08,INR Lakh Cr
ONGC,Institution,OD,2014,Gross Turnover,673807.47,INR Cr
ONGC,Bank,RJ,2014,Net Profit,34941.26,INR Lakh Cr
ONGC,Bank,KL,2014,Dividend,649013.27,INR Cr
ONGC,Bank,UP,2014,Credit Deployed,758282.63,%
ONGC,CPSE,GJ,2014,GNPA Ratio,36262.77,INR Lakh Cr
ONGC,CPSE,KL,2014,Recovery Rate,721984.69,INR Cr
ONGC,Bank,TN,2015,Gross Turnover,75050.31,INR Lakh Cr
ONGC,Bank,HR,2015,Net Profit,600336.5,%
ONGC,Bank,AP,2015,Dividend,738758.0,INR Cr
ONGC,Institution,UP,2015,Credit Deployed,168103.41,INR Cr
ONGC,CPSE,GJ,2015,GNPA Ratio,621026.34,INR Cr
ONGC,Institution,TN,2015,Recovery Rate,752301.21,%
ONGC,Bank,KL,2016,Gross Turnover,223860.37,INR Cr
ONGC,Bank,UP,2016,Net Profit,251713.67,INR Lakh Cr
ONGC,Institution,GJ,2016,Dividend,18961.79,INR Cr
ONGC,CPSE,WB,2016,Credit Deployed,65984.5,INR Cr
ONGC,Bank,KL,2016,GNPA Ratio,735115.86,%
ONGC,Institution,UP,2016,Recovery Rate,630412.37,%
ONGC,CPSE,HR,2017,Gross Turnover,36071.78,INR Lakh Cr
ONGC,CPSE,RJ,2017,Net Profit,137013.87,INR Cr
ONGC,Bank,KL,2017,Dividend,527204.59,INR Cr
ONGC,CPSE,WB,2017,Credit Deployed,777088.38,INR Lakh Cr
ONGC,Bank,PB,2017,GNPA Ratio,403774.85,INR Cr
ONGC,Institution,KL,2017,Recovery Rate,239426.58,INR Cr
ONGC,CPSE,MP,2018,Gross Turnover,581445.79,INR Lakh Cr
ONGC,Bank,PB,2018,Net Profit,70503.57,%
ONGC,CPSE,PB,2018,Dividend,184676.38,INR Cr
ONGC,Institution,RJ,2018,Credit Deployed,746487.69,INR Cr
ONGC,Institution,TN,2018,GNPA Ratio,435422.37,INR Lakh Cr
ONGC,Bank,TG,2018,Recovery Rate,799055.25,INR Lakh Cr
ONGC,Bank,PB,2019,Gross Turnover,809652.24,INR Lakh Cr
ONGC,CPSE,HR,2019,Net Profit,468212.24,INR Lakh Cr
ONGC,CPSE,RJ,2019,Dividend,405052.24,%
ONGC,Institution,RJ,2019,Credit Deployed,447814.5,%
ONGC,Bank,TN,2019,GNPA Ratio,469573.69,%
ONGC,Bank,HR,2019,Recovery Rate,199313.59,INR Cr
ONGC,CPSE,KL,2020,Gross Turnover,516581.92,INR Cr
ONGC,CPSE,BR,2020,Net Profit,664468.58,%
ONGC,Institution,OD,2020,Dividend,435771.21,%
ONGC,CPSE,RJ,2020,Credit Deployed,471743.96,INR Lakh Cr
ONGC,Institution,BR,2020,GNPA Ratio,77224.0,INR Cr
ONGC,CPSE,AP,2020,Recovery Rate,38862.83,INR Lakh Cr
ONGC,Institution,KA,2021,Gross Turnover,752016.18,INR Lakh Cr
ONGC,Institution,MH,2021,Net Profit,247894.16,INR Lakh Cr
ONGC,CPSE,PB,2021,Dividend,863122.17,INR Lakh Cr
ONGC,Bank,KL,2021,Credit Deployed,281473.88,%
ONGC,Bank,UP,2021,GNPA Ratio,220278.12,INR Cr
ONGC,Institution,WB,2021,Recovery Rate,648302.83,%
ONGC,Institution,TG,2022,Gross Turnover,619564.28,INR Cr
ONGC,CPSE,RJ,2022,Net Profit,279939.89,%
ONGC,CPSE,GJ,2022,Dividend,623318.59,%
ONGC,Institution,OD,2022,Credit Deployed,110242.05,INR Lakh Cr
ONGC,Institution,BR,2022,GNPA Ratio,74199.12,INR Cr
ONGC,Bank,AP,2022,Recovery Rate,430836.76,INR Lakh Cr
ONGC,Institution,TG,2023,Gross Turnover,254407.8,INR Lakh Cr
ONGC,Bank,PB,2023,Net Profit,145973.41,INR Lakh Cr
ONGC,Bank,MP,2023,Dividend,780171.02,INR Cr
ONGC,Institution,GJ,2023,Credit Deployed,662631.19,INR Lakh Cr
ONGC,Institution,TN,2023,GNPA Ratio,119325.34,%
ONGC,Bank,UP,2023,Recovery Rate,647966.39,INR Lakh Cr
ONGC,Bank,OD,2024,Gross Turnover,69439.17,%
ONGC,CPSE,WB,2024,Net Profit,866129.16,INR Lakh Cr
ONGC,Bank,HR,2024,Dividend,740485.99,%
ONGC,Bank,HR,2024,Credit Deployed,657837.92,INR Cr
ONGC,CPSE,KL,2024,GNPA Ratio,656902.91,INR Lakh Cr
ONGC,Bank,WB,2024,Recovery Rate,449614.82,%
ONGC,CPSE,MP,2025,Gross Turnover,561776.62,%
ONGC,Bank,PB,2025,Net Profit,236181.85,INR Cr
ONGC,CPSE,MP,2025,Dividend,798149.52,%
ONGC,CPSE,MP,2025,Credit Deployed,320757.89,INR Lakh Cr
ONGC,CPSE,WB,2025,GNPA Ratio,587345.29,INR Lakh Cr
ONGC,Bank,OD,2025,Recovery Rate,210269.95,INR Cr
SBI,CPSE,MP,2005,Gross Turnover,694104.62,INR Lakh Cr
SBI,CPSE,HR,2005,Net Profit,424235.12,INR Lakh Cr
SBI,CPSE,UP,2005,Dividend,451747.0,INR Lakh Cr
SBI,Institution,MP,2005,Credit Deployed,437769.67,INR Lakh Cr
SBI,CPSE,OD,2005,GNPA Ratio,728795.27,%
SBI,Institution,KL,2005,Recovery Rate,117980.56,%
SBI,Institution,RJ,2006,Gross Turnover,238587.6,%
SBI,Institution,BR,2006,Net Profit,787490.17,INR Lakh Cr
SBI,Bank,AP,2006,Dividend,840589.34,INR Lakh Cr
SBI,CPSE,GJ,2006,Credit Deployed,394755.91,%
SBI,Institution,KL,2006,GNPA Ratio,715198.66,INR Lakh Cr
SBI,CPSE,GJ,2006,Recovery Rate,240496.23,INR Lakh Cr
SBI,Bank,UP,2007,Gross Turnover,550493.99,%
SBI,CPSE,UP,2007,Net Profit,91056.42,%
SBI,Institution,HR,2007,Dividend,851468.6,INR Lakh Cr
SBI,CPSE,MP,2007,Credit Deployed,486686.34,INR Lakh Cr
SBI,Bank,WB,2007,GNPA Ratio,874848.41,INR Cr
SBI,Bank,KL,2007,Recovery Rate,512533.17,INR Lakh Cr
SBI,Institution,AP,2008,Gross Turnover,398159.94,INR Lakh Cr
SBI,CPSE,MP,2008,Net Profit,304705.24,INR Cr
SBI,Institution,MH,2008,Dividend,781922.3,INR Lakh Cr
SBI,CPSE,HR,2008,Credit Deployed,871301.33,INR Lakh Cr
SBI,Institution,KL,2008,GNPA Ratio,478744.36,%
SBI,CPSE,MH,2008,Recovery Rate,50411.52,%
SBI,Institution,HR,2009,Gross Turnover,146620.76,INR Cr
SBI,CPSE,AP,2009,Net Profit,749890.39,INR Lakh Cr
SBI,Bank,MP,2009,Dividend,288603.27,INR Lakh Cr
SBI,CPSE,KL,2009,Credit Deployed,883921.84,INR Lakh Cr
SBI,CPSE,OD,2009,GNPA Ratio,707104.38,%
SBI,Bank,AP,2009,Recovery Rate,602961.44,INR Cr
SBI,Bank,RJ,2010,Gross Turnover,670381.37,INR Cr
SBI,Institution,MP,2010,Net Profit,347618.89,INR Lakh Cr
SBI,Institution,BR,2010,Dividend,288647.74,INR Lakh Cr
SBI,Institution,BR,2010,Credit Deployed,387164.02,INR Lakh Cr
SBI,CPSE,PB,2010,GNPA Ratio,388431.58,INR Cr
SBI,CPSE,AP,2010,Recovery Rate,545416.39,INR Lakh Cr
SBI,CPSE,BR,2011,Gross Turnover,94115.53,INR Cr
SBI,CPSE,HR,2011,Net Profit,742355.2,INR Cr
SBI,CPSE,RJ,2011,Dividend,854846.79,INR Cr
SBI,CPSE,RJ,2011,Credit Deployed,70203.7,INR Cr
SBI,CPSE,UP,2011,GNPA Ratio,578502.47,INR Lakh Cr
SBI,Bank,TN,2011,Recovery Rate,142676.63,%
SBI,CPSE,TG,2012,Gross Turnover,575451.39,INR Cr
SBI,Bank,KL,2012,Net Profit,336192.53,INR Cr
SBI,Bank,TN,2012,Dividend,642513.7,INR Lakh Cr
SBI,CPSE,TG,2012,Credit Deployed,136320.35,INR Lakh Cr
SBI,Institution,AP,2012,GNPA Ratio,272959.89,%
SBI,Bank,RJ,2012,Recovery Rate,890414.67,INR Lakh Cr
SBI,Bank,TG,2013,Gross Turnover,398467.91,INR Cr
SBI,Bank,WB,2013,Net Profit,478882.82,INR Cr
SBI,CPSE,HR,2013,Dividend,61218.53,%
SBI,Bank,BR,2013,Credit Deployed,595435.34,%
SBI,Institution,WB,2013,GNPA Ratio,516146.85,INR Cr
SBI,Institution,OD,2013,Recovery Rate,50631.46,INR Cr
SBI,Bank,KA,2014,Gross Turnover,210659.66,%
SBI,Institution,KL,2014,Net Profit,588815.66,%
SBI,Institution,KL,2014,Dividend,356655.57,INR Lakh Cr
SBI,Institution,HR,2014,Credit Deployed,382351.43,%
SBI,Bank,TN,2014,GNPA Ratio,409461.15,INR Lakh Cr
SBI,CPSE,MP,2014,Recovery Rate,699601.49,%
SBI,CPSE,PB,2015,Gross Turnover,37990.0,INR Cr
SBI,Bank,UP,2015,Net Profit,684420.54,INR Lakh Cr
SBI,CPSE,OD,2015,Dividend,645049.56,%
SBI,Bank,HR,2015,Credit Deployed,634047.23,INR Cr
SBI,Institution,KA,2015,GNPA Ratio,175101.23,INR Lakh Cr
SBI,CPSE,OD,2015,Recovery Rate,770080.74,%
SBI,CPSE,MP,2016,Gross Turnover,606771.51,%
SBI,Bank,BR,2016,Net Profit,268510.99,INR Cr
SBI,Institution,RJ,2016,Dividend,474584.53,INR Cr
SBI,Institution,GJ,2016,Credit Deployed,80309.06,INR Cr
SBI,Bank,RJ,2016,GNPA Ratio,700152.3,INR Cr
SBI,Institution,TG,2016,Recovery Rate,618696.3,%
SBI,Institution,AP,2017,Gross Turnover,805383.33,%
SBI,CPSE,PB,2017,Net Profit,381433.13,%
SBI,CPSE,PB,2017,Dividend,530361.26,INR Lakh Cr
SBI,CPSE,MP,2017,Credit Deployed,731353.25,INR Cr
SBI,Institution,BR,2017,GNPA Ratio,617424.94,INR Cr
SBI,CPSE,TG,2017,Recovery Rate,563389.26,%
SBI,Bank,MH,2018,Gross Turnover,453987.23,%
SBI,Institution,KL,2018,Net Profit,446126.74,%
SBI,CPSE,AP,2018,Dividend,80577.28,%
SBI,CPSE,WB,2018,Credit Deployed,464526.16,%
SBI,CPSE,KL,2018,GNPA Ratio,489069.83,%
SBI,CPSE,AP,2018,Recovery Rate,77328.49,INR Lakh Cr
SBI,Institution,KA,2019,Gross Turnover,169222.27,INR Cr
SBI,Institution,KA,2019,Net Profit,330943.98,INR Cr
SBI,Institution,BR,2019,Dividend,597364.29,%
SBI,Bank,AP,2019,Credit Deployed,414097.76,INR Cr
SBI,Bank,HR,2019,GNPA Ratio,735810.62,INR Cr
SBI,Institution,TN,2019,Recovery Rate,189643.89,INR Cr
SBI,CPSE,AP,2020,Gross Turnover,31666.82,INR Cr
SBI,Bank,BR,2020,Net Profit,67637.91,INR Lakh Cr
SBI,Bank,MP,2020,Dividend,860075.96,%
SBI,Institution,KA,2020,Credit Deployed,684548.32,INR Cr
SBI,CPSE,MP,2020,GNPA Ratio,175605.99,INR Lakh Cr
SBI,CPSE,BR,2020,Recovery Rate,241093.55,%
SBI,CPSE,OD,2021,Gross Turnover,899014.24,%
SBI,CPSE,KL,2021,Net Profit,202694.14,%
SBI,Bank,AP,2021,Dividend,760997.62,INR Cr
SBI,CPSE,MP,2021,Credit Deployed,331472.24,INR Cr
SBI,CPSE,MH,2021,GNPA Ratio,752959.82,%
SBI,Institution,MH,2021,Recovery Rate,628359.49,INR Cr
SBI,CPSE,KA,2022,Gross Turnover,34537.09,%
SBI,CPSE,PB,2022,Net Profit,628953.32,INR Lakh Cr
SBI,Bank,UP,2022,Dividend,784397.96,%
SBI,Institution,TG,2022,Credit Deployed,48800.03,INR Cr
SBI,Institution,GJ,2022,GNPA Ratio,644810.52,INR Cr
SBI,CPSE,TG,2022,Recovery Rate,378812.67,INR Cr
SBI,Institution,OD,2023,Gross Turnover,726732.07,%
SBI,Bank,OD,2023,Net Profit,303169.56,INR Lakh Cr
SBI,Bank,RJ,2023,Dividend,543231.17,INR Cr
SBI,CPSE,AP,2023,Credit Deployed,191572.95,%
SBI,Bank,KA,2023,GNPA Ratio,112588.77,INR Cr
SBI,Bank,TG,2023,Recovery Rate,202723.66,INR Cr
SBI,Institution,MH,2024,Gross Turnover,795361.21,INR Cr
SBI,CPSE,RJ,2024,Net Profit,753236.68,INR Cr
SBI,CPSE,GJ,2024,Dividend,865442.21,INR Lakh Cr
SBI,Institution,TG,2024,Credit Deployed,738520.59,INR Lakh Cr
SBI,CPSE,BR,2024,GNPA Ratio,705537.89,%
SBI,Bank,UP,2024,Recovery Rate,592013.32,INR Lakh Cr
SBI,Bank,OD,2025,Gross Turnover,551419.78,INR Cr
SBI,Bank,RJ,2025,Net Profit,761370.27,INR Lakh Cr
SBI,Institution,HR,2025,Dividend,345750.84,INR Cr
SBI,Institution,MH,2025,Credit Deployed,450183.14,INR Cr
SBI,Institution,KL,2025,GNPA Ratio,744069.92,INR Cr
SBI,CPSE,UP,2025,Recovery Rate,172693.95,INR Lakh Cr
PNB,Institution,PB,2005,Gross Turnover,376122.56,INR Cr
PNB,Bank,OD,2005,Net Profit,42025.87,INR Cr
PNB,Bank,KL,2005,Dividend,746681.13,%
PNB,Institution,TN,2005,Credit Deployed,515418.81,INR Cr
PNB,Institution,KA,2005,GNPA Ratio,404644.52,INR Cr
PNB,Institution,OD,2005,Recovery Rate,209747.83,INR Lakh Cr
PNB,Bank,TN,2006,Gross Turnover,567769.63,%
PNB,CPSE,HR,2006,Net Profit,450279.64,%
PNB,CPSE,MH,2006,Dividend,659840.39,INR Lakh Cr
PNB,Institution,KL,2006,Credit Deployed,488074.56,INR Lakh Cr
PNB,CPSE,BR,2006,GNPA Ratio,268242.42,INR Lakh Cr
PNB,Institution,WB,2006,Recovery Rate,642951.66,%
PNB,CPSE,TN,2007,Gross Turnover,354913.09,INR Cr
PNB,CPSE,UP,2007,Net Profit,635096.34,INR Cr
PNB,CPSE,RJ,2007,Dividend,199881.75,INR Cr
PNB,Institution,AP,2007,Credit Deployed,66767.83,INR Lakh Cr
PNB,CPSE,GJ,2007,GNPA Ratio,43064.45,INR Lakh Cr
PNB,CPSE,TG,2007,Recovery Rate,798249.03,INR Lakh Cr
PNB,CPSE,RJ,2008,Gross Turnover,10611.77,INR Cr
PNB,Bank,KA,2008,Net Profit,274124.78,%
PNB,Bank,TG,2008,Dividend,522209.88,INR Cr
PNB,Institution,TG,2008,Credit Deployed,756570.97,%
PNB,Institution,HR,2008,GNPA Ratio,302811.95,%
PNB,Bank,MP,2008,Recovery Rate,266247.49,INR Cr
PNB,Bank,MH,2009,Gross Turnover,220758.92,INR Cr
PNB,CPSE,KA,2009,Net Profit,874098.21,INR Cr
PNB,CPSE,RJ,2009,Dividend,608753.68,INR Cr
PNB,Institution,TN,2009,Credit Deployed,312565.43,INR Lakh Cr
PNB,Bank,RJ,2009,GNPA Ratio,800719.77,INR Cr
PNB,Bank,TG,2009,Recovery Rate,101415.05,%
PNB,CPSE,AP,2010,Gross Turnover,474592.44,INR Lakh Cr
PNB,Institution,KA,2010,Net Profit,600619.37,%
PNB,Institution,PB,2010,Dividend,94084.05,INR Cr
PNB,Institution,MP,2010,Credit Deployed,21505.53,INR Cr
PNB,CPSE,UP,2010,GNPA Ratio,394474.36,INR Cr
PNB,CPSE,MH,2010,Recovery Rate,620232.13,%
PNB,Bank,KL,2011,Gross Turnover,435175.03,INR Lakh Cr
PNB,Bank,KA,2011,Net Profit,801423.71,%
PNB,CPSE,RJ,2011,Dividend,677170.79,INR Cr
