state_code,year,indicator,value,gender,area_type
AP,2022,Learning Outcomes,94.43,Total,Urban
AP,2023,Employment Rate,51.79,Female,Total
AP,2023,WPR,47.35,Female,Total
AP,2023,Female LFPR,66.13,Total,Total
AP,2023,IMR,40.9,Total,Urban
AP,2023,Education Enrolment,87.24,Total,Total
AP,2023,Learning Outcomes,39.35,Female,Total
AP,2024,Employment Rate,52.38,Female,Urban
AP,2024,WPR,54.1,Male,Rural
AP,2024,Female LFPR,25.34,Male,Rural
AP,2024,IMR,89.49,Female,Urban
AP,2024,Education Enrolment,47.99,Total,Total
AP,2024,Learning Outcomes,76.64,Female,Urban
AP,2025,Employment Rate,90.9,Total,Total
AP,2025,WPR,92.47,Female,Urban
AP,2025,Female LFPR,92.96,Total,Urban
AP,2025,IMR,88.54,Male,Rural
AP,2025,Education Enrolment,42.61,Total,Total
AP,2025,Learning Outcomes,16.17,Female,Rural
TG,2005,Employment Rate,50.63,Female,Rural
TG,2005,WPR,65.14,Total,Total
TG,2005,Female LFPR,90.47,Total,Rural
TG,2005,IMR,17.85,Male,Urban
TG,2005,Education Enrolment,89.1,Total,Total
TG,2005,Learning Outcomes,70.8,Male,Urban
TG,2006,Employment Rate,96.74,Female,Urban
TG,2006,WPR,92.7,Female,Total
TG,2006,Female LFPR,89.17,Male,Rural
TG,2006,IMR,86.94,Female,Urban
TG,2006,Education Enrolment,97.44,Male,Total
TG,2006,Learning Outcomes,39.87,Total,Total
TG,2007,Employment Rate,66.41,Male,Total
TG,2007,WPR,17.11,Total,Urban
TG,2007,Female LFPR,82.22,Total,Urban
TG,2007,IMR,53.66,Female,Rural
TG,2007,Education Enrolment,52.15,Female,Rural
TG,2007,Learning Outcomes,90.92,Male,Urban
TG,2008,Employment Rate,75.4,Total,Urban
TG,2008,WPR,65.51,Total,Total
TG,2008,Female LFPR,52.58,Female,Urban
TG,2008,IMR,76.66,Total,Total
TG,2008,Education Enrolment,82.93,Male,Urban
TG,2008,Learning Outcomes,30.95,Female,Rural
TG,2009,Employment Rate,42.97,Total,Total
TG,2009,WPR,58.42,Female,Total
TG,2009,Female LFPR,63.0,Total,Urban
TG,2009,IMR,90.43,Male,Total
TG,2009,Education Enrolment,74.68,Total,Rural
TG,2009,Learning Outcomes,49.54,Female,Rural
TG,2010,Employment Rate,66.3,Total,Rural
TG,2010,WPR,33.84,Total,Urban
TG,2010,Female LFPR,96.22,Male,Total
TG,2010,IMR,63.9,Male,Urban
TG,2010,Education Enrolment,35.02,Male,Rural
TG,2010,Learning Outcomes,95.68,Female,Urban
TG,2011,Employment Rate,48.86,Female,Rural
TG,2011,WPR,55.05,Total,Total
TG,2011,Female LFPR,57.49,Total,Rural
TG,2011,IMR,28.91,Male,Urban
TG,2011,Education Enrolment,17.97,Total,Total
TG,2011,Learning Outcomes,55.85,Female,Rural
TG,2012,Employment Rate,29.25,Female,Rural
TG,2012,WPR,91.02,Male,Total
TG,2012,Female LFPR,97.2,Total,Rural
TG,2012,IMR,74.64,Total,Total
TG,2012,Education Enrolment,83.15,Female,Rural
TG,2012,Learning Outcomes,16.29,Male,Total
TG,2013,Employment Rate,31.66,Male,Total
TG,2013,WPR,53.21,Male,Rural
TG,2013,Female LFPR,83.67,Female,Total
TG,2013,IMR,60.93,Female,Urban
TG,2013,Education Enrolment,53.95,Total,Urban
TG,2013,Learning Outcomes,48.0,Male,Rural
TG,2014,Employment Rate,89.21,Female,Total
TG,2014,WPR,85.94,Male,Rural
TG,2014,Female LFPR,29.73,Male,Rural
TG,2014,IMR,56.05,Male,Rural
TG,2014,Education Enrolment,34.24,Male,Urban
TG,2014,Learning Outcomes,84.22,Male,Total
TG,2015,Employment Rate,83.73,Total,Rural
TG,2015,WPR,90.98,Total,Urban
TG,2015,Female LFPR,49.73,Male,Rural
TG,2015,IMR,56.35,Female,Urban
TG,2015,Education Enrolment,58.07,Total,Urban
TG,2015,Learning Outcomes,57.59,Female,Rural
TG,2016,Employment Rate,30.3,Male,Total
TG,2016,WPR,78.3,Female,Total
TG,2016,Female LFPR,67.01,Female,Total
TG,2016,IMR,49.11,Female,Urban
TG,2016,Education Enrolment,46.2,Total,Total
TG,2016,Learning Outcomes,85.48,Total,Urban
TG,2017,Employment Rate,26.31,Female,Urban
TG,2017,WPR,40.0,Female,Urban
TG,2017,Female LFPR,92.13,Male,Urban
TG,2017,IMR,78.3,Total,Total
TG,2017,Education Enrolment,34.44,Total,Total
TG,2017,Learning Outcomes,29.28,Total,Rural
TG,2018,Employment Rate,50.47,Male,Total
TG,2018,WPR,68.5,Total,Urban
TG,2018,Female LFPR,67.24,Total,Urban
TG,2018,IMR,42.49,Total,Rural
TG,2018,Education Enrolment,88.94,Female,Total
TG,2018,Learning Outcomes,73.12,Male,Urban
TG,2019,Employment Rate,28.8,Male,Rural
TG,2019,WPR,39.2,Female,Total
TG,2019,Female LFPR,34.78,Male,Urban
TG,2019,IMR,87.04,Male,Urban
TG,2019,Education Enrolment,54.26,Male,Total
TG,2019,Learning Outcomes,65.4,Male,Urban
TG,2020,Employment Rate,42.44,Total,Total
TG,2020,WPR,54.32,Female,Urban
TG,2020,Female LFPR,21.96,Male,Rural
TG,2020,IMR,49.78,Male,Total
TG,2020,Education Enrolment,45.29,Female,Urban
TG,2020,Learning Outcomes,57.0,Total,Total
TG,2021,Employment Rate,37.14,Total,Urban
TG,2021,WPR,28.29,Male,Total
TG,2021,Female LFPR,96.69,Female,Rural
TG,2021,IMR,41.76,Male,Rural
TG,2021,Education Enrolment,91.56,Male,Rural
TG,2021,Learning Outcomes,34.56,Female,Rural
TG,2022,Employment Rate,30.29,Total,Total
TG,2022,WPR,37.5,Male,Total
TG,2022,Female LFPR,57.7,Male,Urban
TG,2022,IMR,91.88,Total,Total
TG,2022,Education Enrolment,91.47,Female,Rural
TG,2022,Learning Outcomes,44.91,Female,Total
TG,2023,Employment Rate,50.88,Male,Rural
TG,2023,WPR,22.36,Total,Rural
TG,2023,Female LFPR,63.49,Male,Rural
TG,2023,IMR,65.11,Female,Rural
TG,2023,Education Enrolment,97.75,Total,Urban
TG,2023,Learning Outcomes,77.15,Male,Urban
TG,2024,Employment Rate,97.29,Male,Rural
TG,2024,WPR,23.19,Female,Rural
TG,2024,Female LFPR,26.93,Total,Total
TG,2024,IMR,15.6,Male,Total
TG,2024,Education Enrolment,71.21,Female,Urban
TG,2024,Learning Outcomes,96.2,Male,Rural
TG,2025,Employment Rate,35.83,Total,Total
TG,2025,WPR,83.11,Total,Rural
TG,2025,Female LFPR,97.83,Female,Urban
TG,2025,IMR,75.11,Female,Total
TG,2025,Education Enrolment,34.56,Total,Urban
TG,2025,Learning Outcomes,40.69,Female,Urban
TN,2005,Employment Rate,90.75,Male,Urban
TN,2005,WPR,73.87,Total,Rural
TN,2005,Female LFPR,61.04,Male,Total
TN,2005,IMR,80.58,Male,Rural
TN,2005,Education Enrolment,81.44,Female,Rural
TN,2005,Learning Outcomes,50.07,Female,Rural
TN,2006,Employment Rate,95.83,Female,Rural
TN,2006,WPR,82.43,Male,Total
TN,2006,Female LFPR,60.71,Female,Rural
TN,2006,IMR,65.92,Male,Rural
TN,2006,Education Enrolment,72.6,Total,Total
TN,2006,Learning Outcomes,91.12,Female,Rural
TN,2007,Employment Rate,79.78,Total,Rural
TN,2007,WPR,48.4,Female,Rural
TN,2007,Female LFPR,95.39,Male,Rural
TN,2007,IMR,83.85,Male,Rural
TN,2007,Education Enrolment,87.5,Female,Rural
TN,2007,Learning Outcomes,15.67,Total,Rural
TN,2008,Employment Rate,59.1,Male,Total
TN,2008,WPR,38.63,Female,Urban
TN,2008,Female LFPR,51.15,Total,Urban
TN,2008,IMR,80.25,Female,Rural
TN,2008,Education Enrolment,28.01,Total,Rural
TN,2008,Learning Outcomes,64.75,Total,Total
TN,2009,Employment Rate,79.53,Male,Urban
TN,2009,WPR,42.42,Female,Urban
TN,2009,Female LFPR,43.73,Female,Urban
TN,2009,IMR,45.3,Male,Rural
TN,2009,Education Enrolment,56.77,Total,Total
TN,2009,Learning Outcomes,64.1,Total,Rural
TN,2010,Employment Rate,19.4,Female,Total
TN,2010,WPR,79.48,Male,Total
TN,2010,Female LFPR,73.77,Female,Urban
TN,2010,IMR,43.75,Total,Total
TN,2010,Education Enrolment,83.49,Male,Urban
TN,2010,Learning Outcomes,40.69,Total,Urban
TN,2011,Employment Rate,56.26,Male,Rural
TN,2011,WPR,54.05,Female,Rural
TN,2011,Female LFPR,42.64,Male,Urban
TN,2011,IMR,95.45,Male,Total
TN,2011,Education Enrolment,31.24,Female,Total
TN,2011,Learning Outcomes,27.71,Total,Rural
TN,2012,Employment Rate,18.48,Total,Urban
TN,2012,WPR,80.88,Male,Urban
TN,2012,Female LFPR,21.01,Male,Rural
TN,2012,IMR,46.77,Total,Total
TN,2012,Education Enrolment,68.35,Female,Total
TN,2012,Learning Outcomes,37.8,Total,Rural
TN,2013,Employment Rate,42.17,Male,Rural
TN,2013,WPR,84.76,Total,Total
TN,2013,Female LFPR,85.29,Male,Total
TN,2013,IMR,21.88,Male,Rural
TN,2013,Education Enrolment,54.17,Female,Rural
TN,2013,Learning Outcomes,45.14,Total,Total
TN,2014,Employment Rate,50.94,Total,Urban
TN,2014,WPR,72.58,Female,Total
TN,2014,Female LFPR,85.8,Female,Rural
TN,2014,IMR,74.44,Total,Urban
TN,2014,Education Enrolment,71.2,Male,Total
TN,2014,Learning Outcomes,97.48,Female,Total
TN,2015,Employment Rate,38.58,Total,Urban
TN,2015,WPR,42.16,Female,Rural
TN,2015,Female LFPR,37.37,Female,Urban
TN,2015,IMR,63.27,Male,Urban
TN,2015,Education Enrolment,50.24,Male,Rural
TN,2015,Learning Outcomes,16.7,Total,Rural
TN,2016,Employment Rate,72.77,Total,Urban
TN,2016,WPR,23.57,Total,Rural
TN,2016,Female LFPR,51.19,Female,Total
TN,2016,IMR,84.77,Male,Total
TN,2016,Education Enrolment,32.29,Female,Total
TN,2016,Learning Outcomes,90.56,Female,Total
TN,2017,Employment Rate,55.44,Male,Total
TN,2017,WPR,77.06,Total,Urban
TN,2017,Female LFPR,49.42,Male,Rural
TN,2017,IMR,65.34,Female,Rural
TN,2017,Education Enrolment,82.61,Male,Rural
TN,2017,Learning Outcomes,26.72,Total,Urban
TN,2018,Employment Rate,34.54,Male,Total
TN,2018,WPR,65.81,Total,Rural
TN,2018,Female LFPR,58.88,Male,Rural
TN,2018,IMR,39.74,Total,Rural
TN,2018,Education Enrolment,18.09,Total,Rural
TN,2018,Learning Outcomes,76.35,Total,Total
TN,2019,Employment Rate,81.09,Male,Urban
TN,2019,WPR,88.18,Male,Total
TN,2019,Female LFPR,37.7,Total,Urban
TN,2019,IMR,61.15,Total,Urban
TN,2019,Education Enrolment,51.73,Total,Urban
TN,2019,Learning Outcomes,56.01,Male,Rural
TN,2020,Employment Rate,76.4,Female,Total
TN,2020,WPR,71.35,Female,Total
TN,2020,Female LFPR,25.5,Female,Rural
TN,2020,IMR,86.77,Female,Total
TN,2020,Education Enrolment,89.05,Male,Rural
TN,2020,Learning Outcomes,77.12,Female,Total
TN,2021,Employment Rate,48.05,Male,Rural
TN,2021,WPR,50.51,Male,Urban
TN,2021,Female LFPR,22.5,Male,Total
TN,2021,IMR,54.76,Female,Total
TN,2021,Education Enrolment,20.51,Male,Urban
TN,2021,Learning Outcomes,90.15,Total,Total
TN,2022,Employment Rate,94.11,Total,Urban
TN,2022,WPR,39.61,Male,Total
TN,2022,Female LFPR,51.14,Total,Rural
TN,2022,IMR,25.57,Total,Total
TN,2022,Education Enrolment,21.06,Total,Total
TN,2022,Learning Outcomes,73.93,Male,Total
TN,2023,Employment Rate,95.62,Total,Total
TN,2023,WPR,22.55,Female,Rural
TN,2023,Female LFPR,18.87,Male,Urban
TN,2023,IMR,60.15,Male,Rural
TN,2023,Education Enrolment,63.99,Female,Rural
TN,2023,Learning Outcomes,85.17,Female,Rural
TN,2024,Employment Rate,44.4,Male,Rural
TN,2024,WPR,52.29,Female,Rural
TN,2024,Female LFPR,83.37,Male,Total
TN,2024,IMR,89.23,Female,Urban
TN,2024,Education Enrolment,71.26,Male,Rural
TN,2024,Learning Outcomes,28.37,Male,Rural
TN,2025,Employment Rate,33.67,Total,Total
TN,2025,WPR,55.0,Total,Urban
TN,2025,Female LFPR,48.96,Male,Urban
TN,2025,IMR,86.36,Total,Rural
TN,2025,Education Enrolment,60.46,Female,Rural
TN,2025,Learning Outcomes,54.34,Male,Rural
KL,2005,Employment Rate,32.3,Female,Urban
KL,2005,WPR,90.63,Total,Rural
KL,2005,Female LFPR,49.64,Total,Rural
KL,2005,IMR,17.01,Female,Total
KL,2005,Education Enrolment,59.53,Total,Total
KL,2005,Learning Outcomes,26.63,Male,Urban
KL,2006,Employment Rate,47.33,Male,Rural
KL,2006,WPR,29.34,Female,Total
KL,2006,Female LFPR,24.11,Total,Total
KL,2006,IMR,69.25,Female,Rural
KL,2006,Education Enrolment,19.61,Female,Rural
KL,2006,Learning Outcomes,66.24,Total,Urban
KL,2007,Employment Rate,40.26,Female,Urban
KL,2007,WPR,51.85,Total,Total
KL,2007,Female LFPR,77.32,Total,Total
KL,2007,IMR,62.47,Male,Urban
KL,2007,Education Enrolment,54.44,Female,Rural
KL,2007,Learning Outcomes,21.16,Male,Total
KL,2008,Employment Rate,53.08,Total,Urban
KL,2008,WPR,47.57,Total,Total
KL,2008,Female LFPR,41.44,Male,Total
KL,2008,IMR,56.23,Total,Total
KL,2008,Education Enrolment,59.72,Female,Urban
KL,2008,Learning Outcomes,61.88,Female,Rural
KL,2009,Employment Rate,18.98,Male,Rural
KL,2009,WPR,51.88,Male,Total
KL,2009,Female LFPR,26.55,Female,Rural
KL,2009,IMR,73.48,Total,Total
KL,2009,Education Enrolment,90.44,Total,Urban
KL,2009,Learning Outcomes,21.1,Total,Total
KL,2010,Employment Rate,77.13,Total,Total
KL,2010,WPR,65.98,Total,Total
KL,2010,Female LFPR,64.62,Male,Total
KL,2010,IMR,44.29,Female,Urban
KL,2010,Education Enrolment,51.47,Female,Rural
KL,2010,Learning Outcomes,52.84,Male,Urban
KL,2011,Employment Rate,81.29,Female,Rural
KL,2011,WPR,25.65,Total,Rural
KL,2011,Female LFPR,82.32,Male,Urban
KL,2011,IMR,20.93,Total,Rural
KL,2011,Education Enrolment,45.77,Female,Rural
KL,2011,Learning Outcomes,19.13,Male,Total
KL,2012,Employment Rate,20.4,Female,Urban
KL,2012,WPR,84.12,Female,Rural
KL,2012,Female LFPR,75.41,Female,Total
KL,2012,IMR,41.29,Male,Rural
KL,2012,Education Enrolment,26.31,Male,Rural
KL,2012,Learning Outcomes,35.13,Female,Rural
KL,2013,Employment Rate,93.86,Total,Total
KL,2013,WPR,35.11,Female,Rural
KL,2013,Female LFPR,34.18,Male,Rural
KL,2013,IMR,37.23,Female,Urban
KL,2013,Education Enrolment,45.91,Male,Total
KL,2013,Learning Outcomes,96.42,Total,Urban
KL,2014,Employment Rate,17.08,Female,Total
KL,2014,WPR,65.67,Male,Urban
KL,2014,Female LFPR,32.42,Total,Total
KL,2014,IMR,55.84,Male,Rural
KL,2014,Education Enrolment,65.74,Male,Rural
KL,2014,Learning Outcomes,77.43,Male,Total
KL,2015,Employment Rate,16.53,Total,Urban
KL,2015,WPR,57.79,Female,Rural
KL,2015,Female LFPR,65.31,Female,Urban
KL,2015,IMR,38.64,Male,Rural
KL,2015,Education Enrolment,17.54,Male,Rural
KL,2015,Learning Outcomes,56.39,Male,Urban
KL,2016,Employment Rate,30.44,Male,Urban
KL,2016,WPR,96.08,Male,Urban
KL,2016,Female LFPR,81.01,Total,Urban
KL,2016,IMR,63.77,Male,Rural
KL,2016,Education Enrolment,55.04,Total,Urban
KL,2016,Learning Outcomes,56.15,Male,Urban
KL,2017,Employment Rate,15.18,Total,Rural
KL,2017,WPR,37.41,Total,Total
KL,2017,Female LFPR,81.93,Male,Rural
KL,2017,IMR,55.99,Female,Urban
KL,2017,Education Enrolment,91.11,Total,Total
KL,2017,Learning Outcomes,74.96,Female,Rural
KL,2018,Employment Rate,33.26,Total,Urban
KL,2018,WPR,86.61,Male,Total
KL,2018,Female LFPR,50.96,Male,Total
KL,2018,IMR,70.75,Female,Urban
KL,2018,Education Enrolment,70.73,Female,Total
KL,2018,Learning Outcomes,16.54,Male,Urban
KL,2019,Employment Rate,68.52,Male,Rural
KL,2019,WPR,58.63,Total,Rural
KL,2019,Female LFPR,64.4,Total,Rural
KL,2019,IMR,20.3,Total,Rural
KL,2019,Education Enrolment,59.77,Male,Total
KL,2019,Learning Outcomes,77.87,Total,Total
KL,2020,Employment Rate,84.16,Female,Total
KL,2020,WPR,62.92,Total,Total
KL,2020,Female LFPR,73.13,Female,Rural
KL,2020,IMR,26.18,Total,Rural
KL,2020,Education Enrolment,82.78,Female,Rural
KL,2020,Learning Outcomes,57.1,Male,Total
KL,2021,Employment Rate,30.29,Female,Urban
KL,2021,WPR,95.45,Total,Urban
KL,2021,Female LFPR,19.97,Male,Urban
KL,2021,IMR,60.56,Female,Urban
KL,2021,Education Enrolment,62.72,Female,Rural
KL,2021,Learning Outcomes,69.02,Female,Urban
KL,2022,Employment Rate,81.32,Male,Total
KL,2022,WPR,60.65,Female,Total
KL,2022,Female LFPR,71.19,Female,Rural
KL,2022,IMR,96.27,Total,Rural
KL,2022,Education Enrolment,55.94,Female,Urban
KL,2022,Learning Outcomes,23.67,Male,Urban
KL,2023,Employment Rate,61.21,Male,Rural
KL,2023,WPR,26.16,Total,Total
KL,2023,Female LFPR,65.31,Female,Urban
KL,2023,IMR,24.63,Male,Rural
KL,2023,Education Enrolment,22.12,Male,Rural
KL,2023,Learning Outcomes,18.21,Male,Rural
KL,2024,Employment Rate,85.22,Female,Rural
KL,2024,WPR,75.34,Total,Urban
KL,2024,Female LFPR,97.19,Female,Rural
KL,2024,IMR,76.39,Total,Total
KL,2024,Education Enrolment,84.18,Total,Rural
KL,2024,Learning Outcomes,94.85,Male,Total
KL,2025,Employment Rate,51.17,Total,Rural
KL,2025,WPR,64.82,Total,Total
KL,2025,Female LFPR,19.61,Male,Rural
KL,2025,IMR,75.72,Female,Urban
KL,2025,Education Enrolment,29.54,Female,Rural
KL,2025,Learning Outcomes,84.95,Male,Urban
KA,2005,Employment Rate,20.49,Female,Total
KA,2005,WPR,94.33,Total,Total
KA,2005,Female LFPR,63.87,Total,Rural
KA,2005,IMR,39.9,Male,Total
KA,2005,Education Enrolment,49.41,Male,Urban
KA,2005,Learning Outcomes,34.09,Total,Urban
KA,2006,Employment Rate,69.06,Male,Total
KA,2006,WPR,36.07,Total,Rural
KA,2006,Female LFPR,20.0,Female,Rural
KA,2006,IMR,53.61,Female,Rural
KA,2006,Education Enrolment,71.32,Total,Urban
KA,2006,Learning Outcomes,49.4,Female,Total
KA,2007,Employment Rate,91.63,Male,Rural
KA,2007,WPR,34.1,Male,Total
KA,2007,Female LFPR,39.63,Total,Urban
KA,2007,IMR,30.94,Male,Rural
KA,2007,Education Enrolment,31.44,Female,Urban
KA,2007,Learning Outcomes,66.65,Female,Urban
KA,2008,Employment Rate,40.82,Female,Total
KA,2008,WPR,43.18,Total,Total
KA,2008,Female LFPR,19.83,Total,Rural
KA,2008,IMR,33.47,Total,Total
KA,2008,Education Enrolment,29.24,Male,Urban
KA,2008,Learning Outcomes,87.62,Male,Total
KA,2009,Employment Rate,28.5,Female,Rural
KA,2009,WPR,83.98,Female,Rural
KA,2009,Female LFPR,47.77,Male,Rural
KA,2009,IMR,44.37,Female,Rural
KA,2009,Education Enrolment,28.77,Female,Rural
KA,2009,Learning Outcomes,62.88,Total,Rural
KA,2010,Employment Rate,26.66,Male,Rural
KA,2010,WPR,49.16,Male,Rural
KA,2010,Female LFPR,52.19,Female,Total
KA,2010,IMR,76.14,Female,Rural
KA,2010,Education Enrolment,35.98,Female,Urban
KA,2010,Learning Outcomes,61.57,Male,Rural
KA,2011,Employment Rate,39.89,Total,Total
KA,2011,WPR,62.42,Male,Urban
KA,2011,Female LFPR,81.51,Total,Total
KA,2011,IMR,72.18,Total,Urban
KA,2011,Education Enrolment,87.24,Total,Total
KA,2011,Learning Outcomes,72.99,Total,Total
KA,2012,Employment Rate,61.82,Total,Urban
KA,2012,WPR,26.45,Female,Total
KA,2012,Female LFPR,41.13,Total,Total
KA,2012,IMR,93.74,Total,Total
KA,2012,Education Enrolment,87.78,Total,Rural
KA,2012,Learning Outcomes,44.63,Female,Urban
KA,2013,Employment Rate,87.8,Male,Total
KA,2013,WPR,53.7,Male,Total
KA,2013,Female LFPR,58.31,Male,Rural
KA,2013,IMR,17.58,Total,Rural
KA,2013,Education Enrolment,19.19,Male,Total
KA,2013,Learning Outcomes,53.21,Female,Urban
KA,2014,Employment Rate,53.67,Male,Rural
KA,2014,WPR,73.67,Total,Urban
KA,2014,Female LFPR,15.2,Male,Rural
KA,2014,IMR,75.45,Female,Urban
KA,2014,Education Enrolment,93.45,Female,Rural
KA,2014,Learning Outcomes,36.13,Total,Rural
KA,2015,Employment Rate,62.68,Total,Urban
KA,2015,WPR,74.13,Female,Total
KA,2015,Female LFPR,74.18,Male,Urban
KA,2015,IMR,79.14,Male,Rural
KA,2015,Education Enrolment,77.2,Male,Urban
KA,2015,Learning Outcomes,81.59,Total,Rural
KA,2016,Employment Rate,43.75,Male,Total
KA,2016,WPR,35.96,Female,Urban
KA,2016,Female LFPR,77.66,Male,Rural
KA,2016,IMR,74.82,Total,Urban
KA,2016,Education Enrolment,69.05,Female,Urban
KA,2016,Learning Outcomes,21.79,Total,Rural
KA,2017,Employment Rate,33.63,Male,Urban
KA,2017,WPR,90.66,Total,Rural
KA,2017,Female LFPR,18.78,Female,Total
KA,2017,IMR,59.08,Total,Urban
KA,2017,Education Enrolment,76.69,Male,Total
KA,2017,Learning Outcomes,20.08,Total,Urban
KA,2018,Employment Rate,51.67,Male,Urban
KA,2018,WPR,74.63,Male,Total
KA,2018,Female LFPR,61.48,Total,Urban
KA,2018,IMR,94.08,Male,Urban
KA,2018,Education Enrolment,54.06,Total,Total
KA,2018,Learning Outcomes,59.54,Female,Urban
KA,2019,Employment Rate,75.7,Total,Rural
KA,2019,WPR,20.97,Female,Total
KA,2019,Female LFPR,45.06,Female,Total
KA,2019,IMR,23.64,Total,Total
KA,2019,Education Enrolment,59.18,Female,Rural
KA,2019,Learning Outcomes,69.43,Total,Rural
KA,2020,Employment Rate,86.44,Total,Urban
KA,2020,WPR,50.14,Male,Urban
KA,2020,Female LFPR,58.89,Male,Urban
KA,2020,IMR,24.53,Male,Total
KA,2020,Education Enrolment,45.57,Male,Total
KA,2020,Learning Outcomes,16.51,Female,Urban
KA,2021,Employment Rate,84.35,Male,Rural
KA,2021,WPR,57.19,Male,Rural
