state_code,settlement_name,year,settlement_type,population,density,classification_source
AP,AP_SETTLEMENT_8,2007,Urban Centre,2698727,8517.24,DEGURBA
AP,AP_SETTLEMENT_9,2007,Urban Centre,19425,9888.75,DEGURBA
AP,AP_SETTLEMENT_10,2007,Rural,5844485,2155.31,DEGURBA
AP,AP_SETTLEMENT_11,2007,Rural,1396819,3241.9,DEGURBA
AP,AP_SETTLEMENT_0,2008,Urban Cluster,5149160,14535.11,DEGURBA
AP,AP_SETTLEMENT_1,2008,Urban Centre,6464991,9470.88,DEGURBA
AP,AP_SETTLEMENT_2,2008,Urban Centre,3738643,15380.62,DEGURBA
AP,AP_SETTLEMENT_3,2008,Rural,2604422,16302.59,DEGURBA
AP,AP_SETTLEMENT_4,2008,New Urbanising Settlement,3070969,9268.69,DEGURBA
AP,AP_SETTLEMENT_5,2008,Urban Cluster,7943738,18534.95,DEGURBA
AP,AP_SETTLEMENT_6,2008,Urban Centre,7285637,1220.79,DEGURBA
AP,AP_SETTLEMENT_7,2008,Rural,5837603,5687.78,DEGURBA
AP,AP_SETTLEMENT_8,2008,New Urbanising Settlement,7735834,7898.14,DEGURBA
AP,AP_SETTLEMENT_9,2008,Rural,1199341,1792.78,DEGURBA
AP,AP_SETTLEMENT_10,2008,Rural,7216411,5147.89,DEGURBA
AP,AP_SETTLEMENT_11,2008,Urban Centre,495167,14089.66,DEGURBA
AP,AP_SETTLEMENT_0,2009,New Urbanising Settlement,1725442,8941.83,DEGURBA
AP,AP_SETTLEMENT_1,2009,Rural,2461525,10531.95,DEGURBA
AP,AP_SETTLEMENT_2,2009,Urban Centre,4638682,10451.27,DEGURBA
AP,AP_SETTLEMENT_3,2009,Urban Cluster,2870264,234.15,DEGURBA
AP,AP_SETTLEMENT_4,2009,Urban Cluster,3015551,2210.82,DEGURBA
AP,AP_SETTLEMENT_5,2009,Urban Centre,1661094,4257.34,DEGURBA
AP,AP_SETTLEMENT_6,2009,Urban Cluster,1048637,18586.41,DEGURBA
AP,AP_SETTLEMENT_7,2009,Rural,2979633,18793.81,DEGURBA
AP,AP_SETTLEMENT_8,2009,Urban Cluster,7304258,10293.58,DEGURBA
AP,AP_SETTLEMENT_9,2009,Urban Centre,5577262,16162.95,DEGURBA
AP,AP_SETTLEMENT_10,2009,Rural,1469011,17055.52,DEGURBA
AP,AP_SETTLEMENT_11,2009,New Urbanising Settlement,1040592,15221.74,DEGURBA
AP,AP_SETTLEMENT_0,2010,Rural,5161035,996.85,DEGURBA
AP,AP_SETTLEMENT_1,2010,Rural,6707141,8622.03,DEGURBA
AP,AP_SETTLEMENT_2,2010,Urban Centre,6822707,2125.63,DEGURBA
AP,AP_SETTLEMENT_3,2010,Rural,7874497,9703.66,DEGURBA
AP,AP_SETTLEMENT_4,2010,New Urbanising Settlement,898643,16379.12,DEGURBA
AP,AP_SETTLEMENT_5,2010,New Urbanising Settlement,4192635,16031.98,DEGURBA
AP,AP_SETTLEMENT_6,2010,Urban Cluster,5486793,16670.94,DEGURBA
AP,AP_SETTLEMENT_7,2010,Urban Centre,855262,18046.2,DEGURBA
AP,AP_SETTLEMENT_8,2010,Urban Cluster,4994347,14432.52,DEGURBA
AP,AP_SETTLEMENT_9,2010,Rural,1912030,3492.23,DEGURBA
AP,AP_SETTLEMENT_10,2010,Rural,1011298,7300.74,DEGURBA
AP,AP_SETTLEMENT_11,2010,Urban Centre,7345447,753.84,DEGURBA
AP,AP_SETTLEMENT_0,2011,New Urbanising Settlement,2053149,15454.67,DEGURBA
AP,AP_SETTLEMENT_1,2011,New Urbanising Settlement,3118798,14035.34,DEGURBA
AP,AP_SETTLEMENT_2,2011,New Urbanising Settlement,3275518,10223.54,DEGURBA
AP,AP_SETTLEMENT_3,2011,Rural,3166663,14904.11,DEGURBA
AP,AP_SETTLEMENT_4,2011,Urban Cluster,2627760,4784.04,DEGURBA
AP,AP_SETTLEMENT_5,2011,New Urbanising Settlement,7645178,748.26,DEGURBA
AP,AP_SETTLEMENT_6,2011,Urban Centre,6840884,11492.58,DEGURBA
AP,AP_SETTLEMENT_7,2011,Urban Cluster,7902687,10850.24,DEGURBA
AP,AP_SETTLEMENT_8,2011,Rural,2051416,19563.93,DEGURBA
AP,AP_SETTLEMENT_9,2011,Urban Centre,4683635,16661.54,DEGURBA
AP,AP_SETTLEMENT_10,2011,Rural,3972925,4871.22,DEGURBA
AP,AP_SETTLEMENT_11,2011,Rural,2943265,3815.51,DEGURBA
AP,AP_SETTLEMENT_0,2012,New Urbanising Settlement,68474,4656.81,DEGURBA
AP,AP_SETTLEMENT_1,2012,Urban Centre,2476492,13975.76,DEGURBA
AP,AP_SETTLEMENT_2,2012,Urban Cluster,7354561,1050.14,DEGURBA
AP,AP_SETTLEMENT_3,2012,Rural,5817085,2619.79,DEGURBA
AP,AP_SETTLEMENT_4,2012,Urban Cluster,7041687,8792.72,DEGURBA
AP,AP_SETTLEMENT_5,2012,Urban Centre,5250868,17878.05,DEGURBA
AP,AP_SETTLEMENT_6,2012,Rural,7003983,12807.07,DEGURBA
AP,AP_SETTLEMENT_7,2012,Rural,1806952,13633.68,DEGURBA
AP,AP_SETTLEMENT_8,2012,Urban Centre,2658668,11362.81,DEGURBA
AP,AP_SETTLEMENT_9,2012,Urban Cluster,2288997,14537.13,DEGURBA
AP,AP_SETTLEMENT_10,2012,Rural,2231954,13869.48,DEGURBA
AP,AP_SETTLEMENT_11,2012,Rural,62955,14336.05,DEGURBA
AP,AP_SETTLEMENT_0,2013,Urban Cluster,7332511,7682.14,DEGURBA
AP,AP_SETTLEMENT_1,2013,New Urbanising Settlement,2791989,19180.45,DEGURBA
AP,AP_SETTLEMENT_2,2013,Urban Centre,1462315,16855.64,DEGURBA
AP,AP_SETTLEMENT_3,2013,Urban Cluster,922629,2641.07,DEGURBA
AP,AP_SETTLEMENT_4,2013,Urban Centre,2118527,6620.15,DEGURBA
AP,AP_SETTLEMENT_5,2013,Rural,276326,10871.45,DEGURBA
AP,AP_SETTLEMENT_6,2013,Urban Cluster,6122460,14861.2,DEGURBA
AP,AP_SETTLEMENT_7,2013,Rural,1197568,17788.55,DEGURBA
AP,AP_SETTLEMENT_8,2013,Rural,2760077,15751.34,DEGURBA
AP,AP_SETTLEMENT_9,2013,Urban Cluster,5449512,943.94,DEGURBA
AP,AP_SETTLEMENT_10,2013,New Urbanising Settlement,2562145,17989.22,DEGURBA
AP,AP_SETTLEMENT_11,2013,New Urbanising Settlement,5360923,19655.33,DEGURBA
AP,AP_SETTLEMENT_0,2014,Rural,7391578,14254.63,DEGURBA
AP,AP_SETTLEMENT_1,2014,New Urbanising Settlement,4679569,3176.85,DEGURBA
AP,AP_SETTLEMENT_2,2014,Urban Cluster,136235,3889.4,DEGURBA
AP,AP_SETTLEMENT_3,2014,New Urbanising Settlement,4443671,2756.11,DEGURBA
AP,AP_SETTLEMENT_4,2014,Rural,6326326,5579.55,DEGURBA
AP,AP_SETTLEMENT_5,2014,Rural,4099290,2067.39,DEGURBA
AP,AP_SETTLEMENT_6,2014,Urban Centre,6754602,19668.5,DEGURBA
AP,AP_SETTLEMENT_7,2014,New Urbanising Settlement,1514579,17553.3,DEGURBA
AP,AP_SETTLEMENT_8,2014,Urban Cluster,5239514,19050.76,DEGURBA
AP,AP_SETTLEMENT_9,2014,Rural,1103160,13260.02,DEGURBA
AP,AP_SETTLEMENT_10,2014,New Urbanising Settlement,4268657,1697.76,DEGURBA
AP,AP_SETTLEMENT_11,2014,Urban Centre,685050,19787.27,DEGURBA
AP,AP_SETTLEMENT_0,2015,Rural,7726182,19249.09,DEGURBA
AP,AP_SETTLEMENT_1,2015,Rural,7562791,17522.66,DEGURBA
AP,AP_SETTLEMENT_2,2015,New Urbanising Settlement,2972658,15257.94,DEGURBA
AP,AP_SETTLEMENT_3,2015,Rural,7993901,18499.91,DEGURBA
AP,AP_SETTLEMENT_4,2015,New Urbanising Settlement,7360884,16908.92,DEGURBA
AP,AP_SETTLEMENT_5,2015,Rural,6269250,6230.68,DEGURBA
AP,AP_SETTLEMENT_6,2015,Urban Centre,3537645,18725.97,DEGURBA
AP,AP_SETTLEMENT_7,2015,Rural,1980975,6103.23,DEGURBA
AP,AP_SETTLEMENT_8,2015,Rural,2099889,16624.56,DEGURBA
AP,AP_SETTLEMENT_9,2015,Urban Centre,4489486,16327.26,DEGURBA
AP,AP_SETTLEMENT_10,2015,Urban Centre,3426085,7447.1,DEGURBA
AP,AP_SETTLEMENT_11,2015,Urban Cluster,556719,369.38,DEGURBA
AP,AP_SETTLEMENT_0,2016,New Urbanising Settlement,1936823,1931.17,DEGURBA
AP,AP_SETTLEMENT_1,2016,Rural,729568,2310.63,DEGURBA
AP,AP_SETTLEMENT_2,2016,New Urbanising Settlement,4006175,12191.37,DEGURBA
AP,AP_SETTLEMENT_3,2016,New Urbanising Settlement,1516718,1230.64,DEGURBA
AP,AP_SETTLEMENT_4,2016,New Urbanising Settlement,3953240,8710.39,DEGURBA
AP,AP_SETTLEMENT_5,2016,Urban Centre,7392393,15825.05,DEGURBA
AP,AP_SETTLEMENT_6,2016,Urban Cluster,1775826,774.97,DEGURBA
AP,AP_SETTLEMENT_7,2016,Urban Cluster,4084399,12330.84,DEGURBA
AP,AP_SETTLEMENT_8,2016,New Urbanising Settlement,1610869,8868.43,DEGURBA
AP,AP_SETTLEMENT_9,2016,New Urbanising Settlement,6947462,16036.62,DEGURBA
AP,AP_SETTLEMENT_10,2016,New Urbanising Settlement,2111908,4650.25,DEGURBA
AP,AP_SETTLEMENT_11,2016,New Urbanising Settlement,5837692,12639.93,DEGURBA
AP,AP_SETTLEMENT_0,2017,Urban Centre,3325108,12493.31,DEGURBA
AP,AP_SETTLEMENT_1,2017,Urban Cluster,4721274,4106.31,DEGURBA
AP,AP_SETTLEMENT_2,2017,Urban Centre,2824672,10859.12,DEGURBA
AP,AP_SETTLEMENT_3,2017,Urban Centre,2961649,2169.34,DEGURBA
AP,AP_SETTLEMENT_4,2017,Urban Centre,6834398,15433.71,DEGURBA
AP,AP_SETTLEMENT_5,2017,New Urbanising Settlement,4343748,994.76,DEGURBA
AP,AP_SETTLEMENT_6,2017,New Urbanising Settlement,3611743,1947.91,DEGURBA
AP,AP_SETTLEMENT_7,2017,New Urbanising Settlement,2561481,17966.47,DEGURBA
AP,AP_SETTLEMENT_8,2017,New Urbanising Settlement,7541038,17201.26,DEGURBA
AP,AP_SETTLEMENT_9,2017,Urban Cluster,145017,3583.92,DEGURBA
AP,AP_SETTLEMENT_10,2017,Rural,3000742,7254.67,DEGURBA
AP,AP_SETTLEMENT_11,2017,Rural,2039328,16114.46,DEGURBA
AP,AP_SETTLEMENT_0,2018,Rural,2606740,5123.64,DEGURBA
AP,AP_SETTLEMENT_1,2018,New Urbanising Settlement,4561285,9284.04,DEGURBA
AP,AP_SETTLEMENT_2,2018,Urban Cluster,7358188,19712.03,DEGURBA
AP,AP_SETTLEMENT_3,2018,Urban Cluster,2281583,19886.22,DEGURBA
AP,AP_SETTLEMENT_4,2018,Rural,6103861,3048.08,DEGURBA
AP,AP_SETTLEMENT_5,2018,Urban Centre,6438684,12845.15,DEGURBA
AP,AP_SETTLEMENT_6,2018,Rural,2552350,17236.53,DEGURBA
AP,AP_SETTLEMENT_7,2018,New Urbanising Settlement,2063836,8336.65,DEGURBA
AP,AP_SETTLEMENT_8,2018,Urban Centre,4479760,12772.08,DEGURBA
AP,AP_SETTLEMENT_9,2018,Urban Cluster,2149124,19997.87,DEGURBA
AP,AP_SETTLEMENT_10,2018,New Urbanising Settlement,4281808,5018.38,DEGURBA
AP,AP_SETTLEMENT_11,2018,Urban Centre,3574873,19711.66,DEGURBA
AP,AP_SETTLEMENT_0,2019,Urban Centre,1379340,6377.04,DEGURBA
AP,AP_SETTLEMENT_1,2019,Rural,1940204,11784.98,DEGURBA
AP,AP_SETTLEMENT_2,2019,Urban Cluster,4724565,17804.11,DEGURBA
AP,AP_SETTLEMENT_3,2019,Rural,3255647,1916.24,DEGURBA
AP,AP_SETTLEMENT_4,2019,Urban Cluster,5968451,7932.21,DEGURBA
AP,AP_SETTLEMENT_5,2019,Urban Cluster,5844148,18313.36,DEGURBA
AP,AP_SETTLEMENT_6,2019,Rural,3147052,5390.85,DEGURBA
AP,AP_SETTLEMENT_7,2019,New Urbanising Settlement,1845980,1794.23,DEGURBA
AP,AP_SETTLEMENT_8,2019,Urban Cluster,2945639,469.37,DEGURBA
AP,AP_SETTLEMENT_9,2019,New Urbanising Settlement,1716638,1653.0,DEGURBA
AP,AP_SETTLEMENT_10,2019,Rural,7049392,990.66,DEGURBA
AP,AP_SETTLEMENT_11,2019,Urban Centre,7638176,4352.83,DEGURBA
AP,AP_SETTLEMENT_0,2020,New Urbanising Settlement,5597660,17426.95,DEGURBA
AP,AP_SETTLEMENT_1,2020,New Urbanising Settlement,4910829,4536.96,DEGURBA
AP,AP_SETTLEMENT_2,2020,Rural,6428386,14370.34,DEGURBA
AP,AP_SETTLEMENT_3,2020,Urban Centre,5939040,15368.38,DEGURBA
AP,AP_SETTLEMENT_4,2020,Urban Cluster,7560555,7050.85,DEGURBA
AP,AP_SETTLEMENT_5,2020,New Urbanising Settlement,6792839,15021.47,DEGURBA
AP,AP_SETTLEMENT_6,2020,New Urbanising Settlement,5528860,1185.39,DEGURBA
AP,AP_SETTLEMENT_7,2020,Rural,3485030,850.14,DEGURBA
AP,AP_SETTLEMENT_8,2020,New Urbanising Settlement,1865288,17728.6,DEGURBA
AP,AP_SETTLEMENT_9,2020,Rural,1972239,18662.52,DEGURBA
AP,AP_SETTLEMENT_10,2020,Rural,999670,18696.28,DEGURBA
AP,AP_SETTLEMENT_11,2020,Rural,2616173,2248.02,DEGURBA
AP,AP_SETTLEMENT_0,2021,Urban Cluster,6027835,8004.58,DEGURBA
AP,AP_SETTLEMENT_1,2021,Urban Cluster,528099,9999.25,DEGURBA
AP,AP_SETTLEMENT_2,2021,Rural,6882095,19133.93,DEGURBA
AP,AP_SETTLEMENT_3,2021,New Urbanising Settlement,3567452,15755.41,DEGURBA
AP,AP_SETTLEMENT_4,2021,Urban Centre,2642051,17564.38,DEGURBA
AP,AP_SETTLEMENT_5,2021,Urban Cluster,1521008,10021.39,DEGURBA
AP,AP_SETTLEMENT_6,2021,Urban Cluster,5596667,8117.2,DEGURBA
AP,AP_SETTLEMENT_7,2021,Urban Centre,3233763,16561.91,DEGURBA
AP,AP_SETTLEMENT_8,2021,Rural,7756508,10569.15,DEGURBA
AP,AP_SETTLEMENT_9,2021,Rural,7899800,1387.59,DEGURBA
AP,AP_SETTLEMENT_10,2021,Rural,6328647,15526.42,DEGURBA
AP,AP_SETTLEMENT_11,2021,Urban Centre,709960,12308.33,DEGURBA
AP,AP_SETTLEMENT_0,2022,Urban Centre,2606855,17374.6,DEGURBA
AP,AP_SETTLEMENT_1,2022,Urban Centre,6834484,6715.44,DEGURBA
AP,AP_SETTLEMENT_2,2022,Urban Cluster,3595278,3834.55,DEGURBA
AP,AP_SETTLEMENT_3,2022,New Urbanising Settlement,3776646,8449.31,DEGURBA
AP,AP_SETTLEMENT_4,2022,New Urbanising Settlement,219514,10592.57,DEGURBA
AP,AP_SETTLEMENT_5,2022,Urban Cluster,2681154,11420.02,DEGURBA
AP,AP_SETTLEMENT_6,2022,New Urbanising Settlement,3007946,6293.44,DEGURBA
AP,AP_SETTLEMENT_7,2022,Urban Centre,6717609,15263.99,DEGURBA
AP,AP_SETTLEMENT_8,2022,Rural,5326163,5288.72,DEGURBA
AP,AP_SETTLEMENT_9,2022,Urban Cluster,5153715,10071.67,DEGURBA
AP,AP_SETTLEMENT_10,2022,New Urbanising Settlement,2058078,13257.91,DEGURBA
AP,AP_SETTLEMENT_11,2022,Urban Centre,5905439,14485.25,DEGURBA
AP,AP_SETTLEMENT_0,2023,Urban Cluster,3596006,9472.11,DEGURBA
AP,AP_SETTLEMENT_1,2023,Urban Centre,6765767,9134.06,DEGURBA
AP,AP_SETTLEMENT_2,2023,Urban Cluster,472153,19703.67,DEGURBA
AP,AP_SETTLEMENT_3,2023,Rural,5670256,15472.01,DEGURBA
AP,AP_SETTLEMENT_4,2023,Urban Cluster,226120,3840.15,DEGURBA
AP,AP_SETTLEMENT_5,2023,New Urbanising Settlement,4190711,10740.55,DEGURBA
AP,AP_SETTLEMENT_6,2023,Urban Cluster,7557750,6973.48,DEGURBA
AP,AP_SETTLEMENT_7,2023,Urban Cluster,3320838,19713.7,DEGURBA
AP,AP_SETTLEMENT_8,2023,New Urbanising Settlement,993128,2985.77,DEGURBA
AP,AP_SETTLEMENT_9,2023,Urban Cluster,7937177,9742.5,DEGURBA
AP,AP_SETTLEMENT_10,2023,Urban Cluster,2229013,9358.17,DEGURBA
AP,AP_SETTLEMENT_11,2023,Urban Cluster,722940,15630.86,DEGURBA
AP,AP_SETTLEMENT_0,2024,Urban Centre,2929210,19654.47,DEGURBA
AP,AP_SETTLEMENT_1,2024,Urban Cluster,4913892,2866.56,DEGURBA
AP,AP_SETTLEMENT_2,2024,Urban Centre,6198795,11935.47,DEGURBA
AP,AP_SETTLEMENT_3,2024,New Urbanising Settlement,3351889,17545.57,DEGURBA
AP,AP_SETTLEMENT_4,2024,Rural,1578474,13224.89,DEGURBA
AP,AP_SETTLEMENT_5,2024,New Urbanising Settlement,1839865,2511.71,DEGURBA
AP,AP_SETTLEMENT_6,2024,Urban Centre,240612,3894.28,DEGURBA
AP,AP_SETTLEMENT_7,2024,New Urbanising Settlement,7003114,6186.07,DEGURBA
AP,AP_SETTLEMENT_8,2024,Urban Centre,4838999,539.53,DEGURBA
AP,AP_SETTLEMENT_9,2024,Urban Centre,1548738,8596.23,DEGURBA
AP,AP_SETTLEMENT_10,2024,New Urbanising Settlement,6657463,3795.23,DEGURBA
AP,AP_SETTLEMENT_11,2024,Urban Cluster,1270462,11661.69,DEGURBA
AP,AP_SETTLEMENT_0,2025,New Urbanising Settlement,900719,374.69,DEGURBA
AP,AP_SETTLEMENT_1,2025,Rural,6055913,16785.88,DEGURBA
AP,AP_SETTLEMENT_2,2025,New Urbanising Settlement,3353979,7153.91,DEGURBA
AP,AP_SETTLEMENT_3,2025,Rural,269602,19543.16,DEGURBA
AP,AP_SETTLEMENT_4,2025,Urban Centre,1288399,17984.78,DEGURBA
AP,AP_SETTLEMENT_5,2025,Urban Centre,2333476,11833.62,DEGURBA
AP,AP_SETTLEMENT_6,2025,Urban Centre,819110,2988.42,DEGURBA
AP,AP_SETTLEMENT_7,2025,Rural,6360260,6644.23,DEGURBA
AP,AP_SETTLEMENT_8,2025,New Urbanising Settlement,3150917,16697.23,DEGURBA
AP,AP_SETTLEMENT_9,2025,Rural,7099567,13134.51,DEGURBA
AP,AP_SETTLEMENT_10,2025,Urban Centre,1578663,4004.16,DEGURBA
AP,AP_SETTLEMENT_11,2025,Rural,5567582,11575.85,DEGURBA
TG,TG_SETTLEMENT_0,2005,Urban Centre,4602429,10356.62,DEGURBA
TG,TG_SETTLEMENT_1,2005,Urban Centre,7388590,17301.19,DEGURBA
TG,TG_SETTLEMENT_2,2005,Urban Cluster,108018,5054.03,DEGURBA
TG,TG_SETTLEMENT_3,2005,Urban Centre,4234911,548.33,DEGURBA
TG,TG_SETTLEMENT_4,2005,Rural,542889,7632.83,DEGURBA
TG,TG_SETTLEMENT_5,2005,Urban Cluster,7881233,19018.75,DEGURBA
TG,TG_SETTLEMENT_6,2005,Urban Centre,1680684,9952.13,DEGURBA
TG,TG_SETTLEMENT_7,2005,Urban Centre,425431,8397.22,DEGURBA
TG,TG_SETTLEMENT_8,2005,Urban Centre,7054631,19023.62,DEGURBA
TG,TG_SETTLEMENT_9,2005,Urban Centre,81949,7058.59,DEGURBA
TG,TG_SETTLEMENT_10,2005,New Urbanising Settlement,5092015,14518.2,DEGURBA
TG,TG_SETTLEMENT_11,2005,Urban Cluster,1457303,657.37,DEGURBA
TG,TG_SETTLEMENT_0,2006,Rural,1544563,9788.21,DEGURBA
TG,TG_SETTLEMENT_1,2006,New Urbanising Settlement,7871073,6186.41,DEGURBA
TG,TG_SETTLEMENT_2,2006,Rural,593843,5585.35,DEGURBA
TG,TG_SETTLEMENT_3,2006,Rural,1656141,8216.88,DEGURBA
TG,TG_SETTLEMENT_4,2006,New Urbanising Settlement,5837570,4211.85,DEGURBA
TG,TG_SETTLEMENT_5,2006,New Urbanising Settlement,1226381,17193.94,DEGURBA
TG,TG_SETTLEMENT_6,2006,Urban Cluster,2143897,17538.12,DEGURBA
TG,TG_SETTLEMENT_7,2006,New Urbanising Settlement,4906699,12605.62,DEGURBA
TG,TG_SETTLEMENT_8,2006,Rural,3581297,17631.32,DEGURBA
TG,TG_SETTLEMENT_9,2006,Urban Centre,124097,11187.87,DEGURBA
TG,TG_SETTLEMENT_10,2006,New Urbanising Settlement,3566379,2513.33,DEGURBA
TG,TG_SETTLEMENT_11,2006,Rural,5459809,1030.61,DEGURBA
TG,TG_SETTLEMENT_0,2007,Urban Cluster,3479506,2382.61,DEGURBA
TG,TG_SETTLEMENT_1,2007,Urban Cluster,4693589,3528.43,DEGURBA
TG,TG_SETTLEMENT_2,2007,Rural,7531805,15273.17,DEGURBA
TG,TG_SETTLEMENT_3,2007,Rural,7241535,7554.39,DEGURBA
TG,TG_SETTLEMENT_4,2007,Rural,6665973,3977.69,DEGURBA
TG,TG_SETTLEMENT_5,2007,Rural,1682003,13218.38,DEGURBA
TG,TG_SETTLEMENT_6,2007,Rural,7516172,6189.58,DEGURBA
TG,TG_SETTLEMENT_7,2007,Urban Centre,3579115,7782.75,DEGURBA
TG,TG_SETTLEMENT_8,2007,Urban Cluster,6103143,3624.04,DEGURBA
TG,TG_SETTLEMENT_9,2007,New Urbanising Settlement,1252305,11770.16,DEGURBA
TG,TG_SETTLEMENT_10,2007,Urban Centre,6022125,7179.87,DEGURBA
TG,TG_SETTLEMENT_11,2007,Urban Centre,631880,7888.3,DEGURBA
TG,TG_SETTLEMENT_0,2008,New Urbanising Settlement,4083832,8102.81,DEGURBA
TG,TG_SETTLEMENT_1,2008,New Urbanising Settlement,5767242,19336.27,DEGURBA
TG,TG_SETTLEMENT_2,2008,Rural,7779844,15685.6,DEGURBA
TG,TG_SETTLEMENT_3,2008,New Urbanising Settlement,2809700,12571.5,DEGURBA
TG,TG_SETTLEMENT_4,2008,New Urbanising Settlement,6380725,8880.69,DEGURBA
TG,TG_SETTLEMENT_5,2008,Urban Centre,2338793,15902.62,DEGURBA
TG,TG_SETTLEMENT_6,2008,Urban Centre,913478,19651.42,DEGURBA
TG,TG_SETTLEMENT_7,2008,New Urbanising Settlement,4524161,7567.98,DEGURBA
TG,TG_SETTLEMENT_8,2008,Urban Centre,6250860,5632.08,DEGURBA
TG,TG_SETTLEMENT_9,2008,New Urbanising Settlement,7339701,3226.44,DEGURBA
TG,TG_SETTLEMENT_10,2008,Rural,4464425,10790.58,DEGURBA
TG,TG_SETTLEMENT_11,2008,Urban Cluster,2496636,2311.77,DEGURBA
TG,TG_SETTLEMENT_0,2009,Urban Centre,1729700,11551.08,DEGURBA
TG,TG_SETTLEMENT_1,2009,Urban Centre,1803950,6366.56,DEGURBA
TG,TG_SETTLEMENT_2,2009,Urban Centre,6138895,10559.98,DEGURBA
TG,TG_SETTLEMENT_3,2009,Urban Cluster,7234713,2236.41,DEGURBA
TG,TG_SETTLEMENT_4,2009,Urban Cluster,1833016,6880.81,DEGURBA
TG,TG_SETTLEMENT_5,2009,New Urbanising Settlement,5236892,18519.89,DEGURBA
TG,TG_SETTLEMENT_6,2009,New Urbanising Settlement,507827,17133.63,DEGURBA
TG,TG_SETTLEMENT_7,2009,Rural,1158396,18059.65,DEGURBA
TG,TG_SETTLEMENT_8,2009,Rural,494454,16873.75,DEGURBA
TG,TG_SETTLEMENT_9,2009,New Urbanising Settlement,7061520,4131.34,DEGURBA
TG,TG_SETTLEMENT_10,2009,Urban Centre,6526575,10836.72,DEGURBA
TG,TG_SETTLEMENT_11,2009,Rural,4551499,15483.46,DEGURBA
TG,TG_SETTLEMENT_0,2010,Urban Cluster,3538628,12271.97,DEGURBA
TG,TG_SETTLEMENT_1,2010,Urban Centre,6669036,695.5,DEGURBA
TG,TG_SETTLEMENT_2,2010,Rural,7873048,17707.05,DEGURBA
TG,TG_SETTLEMENT_3,2010,Urban Cluster,7828578,8222.61,DEGURBA
TG,TG_SETTLEMENT_4,2010,Urban Centre,5576154,7192.46,DEGURBA
TG,TG_SETTLEMENT_5,2010,Urban Centre,6389461,19634.52,DEGURBA
TG,TG_SETTLEMENT_6,2010,Urban Centre,707145,1492.05,DEGURBA
TG,TG_SETTLEMENT_7,2010,Rural,728556,17395.61,DEGURBA
TG,TG_SETTLEMENT_8,2010,Urban Cluster,7340230,10381.3,DEGURBA
TG,TG_SETTLEMENT_9,2010,Urban Cluster,6325856,14823.48,DEGURBA
